source resource id,source xpath,info of source event,target resource id,target xpath,info of target event,score
Registration Test Case,,,,,
com.etsy.android:id/btn_link,,,com.contextlogic.wish:id/sign_in_fragment_sign_in_button,,,0.26903293401200384
com.etsy.android:id/btn_register_dialog,,,com.contextlogic.wish:id/multi_button_dialog_fragment_description,,,0.32229371595295203
com.etsy.android:id/edit_email,,,com.contextlogic.wish:id/sign_in_fragment_email_text,,,0.4473722217030706
com.etsy.android:id/edit_register_password,,,com.contextlogic.wish:id/sign_in_fragment_password_text,,,0.26135089629665736
com.etsy.android:id/edit_password_confirm,,,com.contextlogic.wish:id/sign_in_fragment_password_text,,,0.25387982324035496
com.etsy.android:id/edit_last_name,,,com.contextlogic.wish:id/forgot_password_fragment_email_text,,,0.2006227105947979
com.etsy.android:id/edit_first_name,,,,,,0
com.etsy.android:id/button_register,,,com.contextlogic.wish:id/forgot_password_fragment_reset_password_button,,,0.23385857583983402
,"//android.widget.ImageButton[@content-desc=""Navigate up""]",,,,,0
com.etsy.android:id/etsy_menu_text,,,com.contextlogic.wish:id/login_fragment_tagline_text,,,0.15952055817725908
com.etsy.android:id/username,,,,,,0
Login Test Case,,,,,
com.etsy.android:id/btn_link,,,com.contextlogic.wish:id/sign_in_fragment_sign_in_button,,,0.33950746906435414
com.etsy.android:id/btn_sign_in_dialog,,,com.contextlogic.wish:id/sign_in_fragment_sign_in_button,,,0.586188064589956
com.etsy.android:id/edit_password,,,com.contextlogic.wish:id/sign_in_fragment_password_text,,,0.568950332928395
com.etsy.android:id/edit_username,,,com.contextlogic.wish:id/sign_in_fragment_email_text,,,0.5297808518221342
com.etsy.android:id/button_signin,,,com.contextlogic.wish:id/sign_in_fragment_sign_in_button,,,0.6230396636914546
,"//*[@content-desc=""Navigate up""]",,,"//*[@content-desc=""Close Menu""]",,0.28785617872254593
com.etsy.android:id/etsy_menu_text,,,com.contextlogic.wish:id/menu_fragment_row_text,,,0.33474717228711004
com.etsy.android:id/username,,,com.contextlogic.wish:id/menu_profile_name,,,0.4091474903314978
