id,xpath,class,canonical,current Activity,next Activity,type,additional info
com.alibaba.aliexpresshd:id/buttonDefaultNegative,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.TextView[1],android.widget.TextView,update_no,.module.home.MainActivity,,transition,"""No"" to update popup"
,/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.LinearLayout/android.widget.HorizontalScrollView/android.widget.LinearLayout/android.support.v7.app.ActionBar.Tab[1],android.support.v7.app.ActionBar$Tab,home_signin,.module.home.MainActivity,.auth.user.ui.AliLoginActivity,transition,Menu to sign in/register
com.alibaba.aliexpresshd:id/btn_sign_in,/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout[4]/android.widget.Button[1],android.widget.Button,signin_tosignin,.auth.user.ui.AliLoginActivity,.auth.user.ui.AliLoginActivity,transition,"""Sign In"" button; same activity!"
com.alibaba.aliexpresshd:id/et_email,/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.RelativeLayout/android.widget.RelativeLayout[1]/android.widget.RelativeLayout/android.widget.EditText,android.widget.EditText,signin_username_or_email,.auth.user.ui.AliLoginActivity,,input,Can be transition
com.alibaba.aliexpresshd:id/et_password,/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.RelativeLayout/android.widget.RelativeLayout[2]/android.widget.EditText,android.widget.EditText,signin_password,.auth.user.ui.AliLoginActivity,,input,Can be transition
com.alibaba.aliexpresshd:id/rl_ali_sign_in_btn,/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.RelativeLayout/android.widget.RelativeLayout[3],android.widget.RelativeLayout,sign_in,.auth.user.ui.AliLoginActivity,,assertion,Can be transition
com.alibaba.aliexpresshd:id/tv_forgot_password_label,/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.RelativeLayout/android.widget.TextView,android.widget.TextView,signin_forget_pwd,.auth.user.ui.AliLoginActivity,,assertion,
com.alibaba.aliexpresshd:id/btn_register,/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout[4]/android.widget.Button[2],android.widget.Button,signin_tosignup,.auth.user.ui.AliLoginActivity,.auth.user.ui.AliLoginActivity,transition,"""Register"" button; same activity!"
com.alibaba.aliexpresshd:id/et_email,/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.LinearLayout[1]/android.widget.RelativeLayout[1]/android.widget.RelativeLayout/android.widget.EditText,android.widget.EditText,signup_email,.auth.user.ui.AliLoginActivity,,input,Same id as signin
com.alibaba.aliexpresshd:id/et_first_name,/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.LinearLayout[1]/android.widget.RelativeLayout[2]/android.widget.RelativeLayout/android.widget.EditText,android.widget.EditText,signup_username,.auth.user.ui.AliLoginActivity,,input,Same id as signin
