id,xpath,class,canonical,current Activity,next Activity,type,additional info
com.etsy.android:id/btn_link,/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.Button,android.widget.Button,home_signin,.ui.homescreen.HomescreenTabsActivity,.ui.user.auth.SignInActivity,transition,"""Get Started"" button"
com.etsy.android:id/btn_sign_in_dialog,/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.Button[2],android.widget.Button,signin_tosignin,.ui.user.auth.SignInActivity,.ui.user.auth.SignInActivity,transition,"""Sign In"" button; same activity!"
com.etsy.android:id/edit_username,/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.EditText[1],android.widget.EditText,signin_email,.ui.user.auth.SignInActivity,,input,Can be transition
com.etsy.android:id/edit_password,/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.EditText[2],android.widget.EditText,signin_password,.ui.user.auth.SignInActivity,,input,Can be transition
com.etsy.android:id/button_signin,/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.Button,android.widget.Button,sign_in,.ui.user.auth.SignInActivity,.ui.homescreen.HomescreenTabsActivity,assertion,Can be transition
com.etsy.android:id/forgot_password_link,/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.TextView,android.widget.TextView,signin_forget_pwd,.ui.user.auth.SignInActivity,,assertion,
com.etsy.android:id/btn_register_dialog,/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.Button[1],android.widget.Button,signin_tosignup,.ui.user.auth.SignInActivity,.ui.user.auth.SignInActivity,transition,"""Register"" button; same activity!"
com.etsy.android:id/edit_email,/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.EditText[1],android.widget.EditText,signup_email,.ui.user.auth.SignInActivity,,input,same xpath as username/email in signin
com.etsy.android:id/edit_username,,android.widget.EditText,signup_username,.ui.user.auth.SignInActivity,,input,same id as username/email in signin; AND same xpath as password in signin
com.etsy.android:id/edit_register_password,,android.widget.EditText,signup_password,.ui.user.auth.SignInActivity,,input,
com.etsy.android:id/edit_password_confirm,/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.LinearLayout[2]/android.widget.EditText[2],android.widget.EditText,signup_confirm_password,.ui.user.auth.SignInActivity,,input,
com.etsy.android:id/button_register,/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.Button,android.widget.Button,sign_up,.ui.user.auth.SignInActivity,,assertion,
,"//android.widget.ImageButton[@content-desc=""Navigate up""]",android.widget.ImageButton,menu,.ui.homescreen.HomescreenTabsActivity,.ui.homescreen.HomescreenTabsActivity,assertion,Can be many activities; can be transition
,/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1],android.widget.LinearLayout,menu_settings,.ui.homescreen.HomescreenTabsActivity,.ui.user.SettingsActivity,transition,Can be many activities
com.etsy.android:id/about_row,/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.TextView[4],android.widget.TextView,about,.ui.user.SettingsActivity,.ui.EtsyWebActivity,assertion,Can be transition
