id,xpath,class,canonical,current Activity,next Activity,type,additional info
com.google.android.apps.shopping.express:id/account_drop_down_arrow,"//android.widget.ImageView[@content-desc=""Expand arrow""]",android.widget.ImageView,signin_tosignin,.activity.MainActivity,.auth.uiflows.minutemaid.MinuteMaidActivity,transition,
,"//android.widget.EditText[@content-desc=""Email or phone""]",android.widget.EditText,signin_username_or_email,.auth.uiflows.minutemaid.MinuteMaidActivity,,input,
,"//android.widget.Button[@content-desc=""Next""]",android.widget.Button,signin_continue,.auth.uiflows.minutemaid.MinuteMaidActivity,,transition,"""Next"" button for signin"
,"//android.webkit.WebView[@content-desc=""Welcome""]/android.view.View/android.view.View[3]",android.view.View,signin_password,.auth.uiflows.minutemaid.MinuteMaidActivity,,input,
,"//android.widget.Button[@content-desc=""Next""]",android.widget.Button,sign_in,.auth.uiflows.minutemaid.MinuteMaidActivity,,assertion,
,"//android.widget.Button[@content-desc=""Forgot password?""]",android.widget.Button,signin_forget_pwd,.auth.uiflows.minutemaid.MinuteMaidActivity,,assertion,
,"//android.widget.Spinner[@content-desc=""Create account""]",android.widget.Spinner,signin_tosignup,.auth.uiflows.minutemaid.MinuteMaidActivity,.auth.uiflows.minutemaid.MinuteMaidActivity,transition,"""Register"" button; same activity!"
,"//android.view.MenuItem[@content-desc=""For myself""]",android.view.MenuItem,signup_formyself,.auth.uiflows.minutemaid.MinuteMaidActivity,.auth.uiflows.minutemaid.MinuteMaidActivity,transition,create account for myself option; same activity!
,"//android.widget.EditText[@content-desc=""First name""]",android.widget.EditText,signup_username,.auth.uiflows.minutemaid.MinuteMaidActivity,,input,
,"//android.widget.Button[@content-desc=""Next""]",android.widget.Button,sign_up,.auth.uiflows.minutemaid.MinuteMaidActivity,,transition,"""Next"" button for signup; same xpath as continue in signin"
com.google.android.apps.shopping.express:id/navigation_action_account,"//android.widget.FrameLayout[@content-desc=""Account""]",android.widget.FrameLayout,menu_account,.main.ShoppingMainActivity,,assertion,Can be transition
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.support.v7.widget.LinearLayoutCompat[5]/android.widget.CheckedTextView,android.widget.CheckedTextView,help,.main.ShoppingMainActivity,.googlehelp.helpactivities.HelpActivity,assertion,Can be transition
,"//android.widget.ImageView[@content-desc=""More options""]",android.widget.ImageView,menu,.googlehelp.helpactivities.HelpActivity,,transition,
,/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.ListView/android.widget.LinearLayout[4]/android.widget.LinearLayout,android.widget.LinearLayout,about,.googlehelp.helpactivities.HelpActivity,,assertion,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.support.v7.widget.LinearLayoutCompat[4]/android.widget.CheckedTextView,android.widget.CheckedTextView,menu_settings,.main.ShoppingMainActivity,.settings.activity.SettingsActivity,transition,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]/android.widget.RelativeLayout,android.widget.RelativeLayout,account_address,.settings.activity.SettingsActivity,,assertion,
com.google.android.apps.shopping.express:id/empty_address_screen_add_address_button,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.LinearLayout/android.widget.Button,android.widget.Button,address_add,.address.activity.EditAddressesSelectionV2Activity,,assertion,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.LinearLayout[3]/android.widget.FrameLayout/android.widget.EditText,android.widget.EditText,address_street,.address.activity.AddOrEditAddressV2Activity,,input,
com.google.android.apps.shopping.express:id/save_address_button,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.RelativeLayout[2]/android.widget.LinearLayout/android.widget.Button,android.widget.Button,address_save,.address.activity.AddOrEditAddressV2Activity,,assertion,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v4.view.ViewPager/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]/android.support.v7.widget.RecyclerView/android.support.design.card.MaterialCardView[1]/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.ImageView,android.widget.ImageView,cat_1,.main.ShoppingMainActivity,,assertion,
com.google.android.gms:id/gh_feedback_option,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.LinearLayout[2]/android.widget.Button,android.widget.Button,contact,.googlehelp.helpactivities.HelpActivity,,assertion,
com.google.android.apps.shopping.express:id/open_search_bar_text_view,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v4.view.ViewPager/android.view.ViewGroup/android.widget.LinearLayout/android.widget.EditText/android.widget.TextView,android.widget.TextView,search,.main.ShoppingMainActivity,,assertion,Can be transition
com.google.android.apps.shopping.express:id/open_search_view_edit_text,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.support.v4.view.ViewPager/android.view.ViewGroup/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.LinearLayout/android.widget.EditText,android.widget.EditText,search_bar,.main.ShoppingMainActivity,.browse.BrowseActivity,input,Can be transition
com.google.android.apps.shopping.express:id/filter_drawer_text,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.view.ViewGroup/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.RelativeLayout[2]/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.TextView,android.widget.TextView,filter,.browse.BrowseActivity,,assertion,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.ListView/android.widget.RelativeLayout[1],android.widget.RelativeLayout,filter_sort,.browse.BrowseActivity,,assertion,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.ListView/android.widget.FrameLayout[2]/android.widget.TextView,android.widget.TextView,filter_price,.browse.BrowseActivity,,assertion,
com.google.android.apps.shopping.express:id/search_panel_action_text,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.RelativeLayout/android.widget.FrameLayout/android.widget.TextView,android.widget.TextView,filter_done,.browse.BrowseActivity,,assertion,
com.google.android.apps.shopping.express:id/srp_grid_product_card_image,"(//android.widget.ImageView[@content-desc=""Product image""])[1]",android.widget.ImageView,item_1,.browse.BrowseActivity,,assertion,
com.google.android.apps.shopping.express:id/cart_action_button,"(//android.widget.Button[@content-desc=""Add to cart""])[1]",android.widget.Button,add_cart,.browse.BrowseActivity,,assertion,Can be transition
