id,xpath,class,canonical,current Activity,next Activity,type,additional info
com.abc.abcnews:id/cinematic_main_onclick,,android.view.View,item_1,.ui.navigation.MainNavigationActivity,.ui.NewsItemPagerActivity,,
com.abc.abcnews:id/menu_save_button,,android.widget.TextView,save_bookmark,.ui.NewsItemPagerActivity,,,
,"//android.widget.ImageButton[@content-desc=""Drawer Opened""]",android.widget.ImageButton,menu,.ui.navigation.MainNavigationActivity,,,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.LinearLayout[2]/android.widget.ListView/android.view.ViewGroup[2],android.view.ViewGroup,menu_bookmark,.ui.navigation.MainNavigationActivity,,,
com.abc.abcnews:id/headline_list_item_parent_container,,android.view.ViewGroup,item_1,.ui.navigation.MainNavigationActivity,.ui.NewsItemPagerActivity,,
com.abc.abcnews:id/menu_save_button,,android.widget.TextView,remove_bookmark,.ui.NewsItemPagerActivity,,,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.LinearLayout[2]/android.widget.ListView/android.widget.RelativeLayout,android.widget.RelativeLayout,menu_settings,.ui.navigation.MainNavigationActivity,.ui.SettingsActivity,,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout[2]/android.widget.RelativeLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ListView/android.widget.LinearLayout[1],android.widget.LinearLayout,menu_textsize,.ui.SettingsActivity,,,
android:id/text1,,android.widget.CheckedTextView,change_textsize,.ui.SettingsActivity,,,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.LinearLayout[2]/android.widget.ListView/android.view.ViewGroup[1],android.view.ViewGroup,cat_1,.ui.navigation.MainNavigationActivity,,,
com.abc.abcnews:id/setting_feedback,,android.widget.TextView,contact,.ui.SettingsActivity,,,
com.abc.abcnews:id/setting_terms,,android.widget.TextView,legal,.ui.SettingsActivity,.ui.WebViewActivity,,
,"//android.widget.ImageButton[@content-desc=""Navigate up""]",android.widget.ImageButton,back,.ui.NewsItemPagerActivity,.ui.navigation.MainNavigationActivity,,
