id,xpath,class,canonical,current Activity,next Activity,type,additional info
com.mobilesrepublic.appy:id/search_bar_layout,,android.widget.LinearLayout,tosearch,com.ss.android.application.app.mainpage.BottomTabMainActivity,com.ss.android.application.app.search.view.SearchActivity,,
com.mobilesrepublic.appy:id/search_input,,android.widget.EditText,search_bar,com.ss.android.application.app.search.view.SearchActivity,,input,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/com.ss.android.uilib.base.page.slideback.SlideFrameLayout/android.widget.RelativeLayout/android.webkit.WebView/android.webkit.WebView/android.view.View/android.view.View[2]/android.view.View/android.widget.ListView/android.view.View[2],android.view.View,item_1,com.ss.android.application.app.search.view.SearchActivity,com.ss.android.application.article.detail.NewDetailActivity,,
com.mobilesrepublic.appy:id/top_more_title,,android.widget.ImageView,menu_more,com.ss.android.application.article.detail.NewDetailActivity,,,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/androidx.recyclerview.widget.RecyclerView/androidx.recyclerview.widget.RecyclerView[2]/android.view.ViewGroup[1],android.view.ViewGroup,save_bookmark,com.ss.android.application.article.detail.NewDetailActivity,,,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.RelativeLayout[4],android.widget.RelativeLayout,menu_account,com.ss.android.application.app.mainpage.BottomTabMainActivity,,,
com.mobilesrepublic.appy:id/siginin_back,,android.widget.ImageView,menu,com.ss.android.application.app.mainpage.BottomTabMainActivity,,,
com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_saved,,android.view.View,menu_bookmark,com.ss.android.application.app.mainpage.BottomTabMainActivity,com.ss.android.application.article.favor.FavoriteActivity,,
com.mobilesrepublic.appy:id/root,,android.widget.RelativeLayout,item_1,com.ss.android.application.article.favor.FavoriteActivity,com.ss.android.application.article.detail.NewDetailActivity,,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/androidx.recyclerview.widget.RecyclerView/androidx.recyclerview.widget.RecyclerView[2]/android.view.ViewGroup[1],android.view.ViewGroup,remove_bookmark,com.ss.android.application.article.detail.NewDetailActivity,,,
com.mobilesrepublic.appy:id/setting_font_size,,android.widget.LinearLayout,menu_textsize,com.ss.android.application.app.mine.BaseSettingActivity,,,
android:id/text1,,android.widget.CheckedTextView,change_textsize,com.ss.android.application.app.mine.BaseSettingActivity,,,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.LinearLayout/android.widget.RelativeLayout/android.widget.HorizontalScrollView/android.widget.LinearLayout/android.widget.FrameLayout[2],android.widget.FrameLayout,cat_1,com.ss.android.application.app.mainpage.BottomTabMainActivity,,,
com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_feedback,,android.view.View,contact,com.ss.android.application.app.mainpage.BottomTabMainActivity,com.ss.android.application.app.feedback.FeedBackActivity,,
com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_settings,,android.view.View,menu_settings,com.ss.android.application.app.mainpage.BottomTabMainActivity,com.ss.android.application.app.mine.BaseSettingActivity,,
com.mobilesrepublic.appy:id/privacy_safety,,android.widget.LinearLayout,menu_legal,com.ss.android.application.app.mine.BaseSettingActivity,com.ss.android.application.app.mine.PrivacySettingActivity,,
com.mobilesrepublic.appy:id/privacy_setting_service_terms,,android.widget.FrameLayout,legal,com.ss.android.application.app.mine.PrivacySettingActivity,com.ss.android.application.app.browser.BrowserActivity,,
com.mobilesrepublic.appy:id/back,,android.widget.ImageView,back,com.ss.android.application.article.detail.NewDetailActivity,com.ss.android.application.app.search.view.SearchActivity,,
com.mobilesrepublic.appy:id/back,,android.widget.ImageView,back,com.ss.android.application.app.search.view.SearchActivity,com.ss.android.application.app.mainpage.BottomTabMainActivity,,
