id,xpath,class,canonical,current Activity,next Activity,type,additional info
jp.gocro.smartnews.android:id/searchTextView,,android.widget.TextView,tosearch,.activity.MainActivity,.search.SearchActivity,,
jp.gocro.smartnews.android:id/search_src_text,,android.widget.EditText,search_bar,.search.SearchActivity,,input,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/androidx.recyclerview.widget.RecyclerView/android.widget.LinearLayout[1],android.widget.LinearLayout,item_1,.search.SearchActivity,,,
jp.gocro.smartnews.android:id/settingButton,,android.widget.ImageButton,menu_settings,.activity.MainActivity,.activity.SettingActivity,,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout[2]/android.widget.ListView/android.widget.LinearLayout[3],android.widget.LinearLayout,menu_textsize,.activity.SettingActivity,,,
android:id/text1,,android.widget.CheckedTextView,change_textsize,.activity.SettingActivity,,,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout[2]/android.widget.ListView/android.widget.LinearLayout[10],android.widget.LinearLayout,about,.activity.SettingActivity,.activity.SettingAboutActivity,,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.RelativeLayout/android.widget.HorizontalScrollView/android.widget.LinearLayout/android.view.View[1],android.view.View,cat_1,.activity.MainActivity,,,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout[2]/android.widget.ListView/android.widget.LinearLayout[7],android.widget.LinearLayout,help,.activity.SettingActivity,.support.SupportActivity,,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout[2]/android.widget.FrameLayout/android.widget.FrameLayout/android.webkit.WebView/android.webkit.WebView/android.view.View[1]/android.view.View[2]/android.view.View[2]/android.view.View,android.view.View,contact,.support.SupportActivity,,,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.ListView/android.widget.LinearLayout[2],android.widget.LinearLayout,legal,.activity.SettingAboutActivity,.activity.WebPageActivity,,
