id,xpath,class,canonical,current Activity,next Activity,type,additional info
com.guardian:id/fabHome,,android.widget.ImageButton,menu,.feature.stream.NewHomeActivity,,,
com.guardian:id/nav_drawer_settings_button,,android.widget.ImageView,menu_settings,.feature.stream.NewHomeActivity,.feature.setting.SettingsActivity,,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/android.widget.LinearLayout[2],android.widget.LinearLayout,settings_tosignin,.feature.setting.SettingsActivity,.feature.login.ui.LoginActivity,,
com.guardian:id/bottom_bar,,android.widget.FrameLayout,signin_tosignup,.feature.login.ui.LoginActivity,,,
com.guardian:id/register_email,,android.widget.EditText,signup_email,.feature.login.ui.LoginActivity,,,
com.guardian:id/register_password,,android.widget.EditText,signup_password,.feature.login.ui.LoginActivity,,,
com.guardian:id/register_first_name,,android.widget.EditText,signup_firstname,.feature.login.ui.LoginActivity,,,
com.guardian:id/register_last_name,,android.widget.EditText,signup_lastname,.feature.login.ui.LoginActivity,,,
com.guardian:id/register_username,,android.widget.EditText,signup_username,.feature.login.ui.LoginActivity,,,
com.guardian:id/register_button,,android.widget.LinearLayout,sign_up,.feature.login.ui.LoginActivity,.feature.setting.SettingsActivity,,
com.guardian:id/email,,android.widget.EditText,signin_email,.feature.login.ui.LoginActivity,,,
com.guardian:id/password,,android.widget.EditText,signin_password,.feature.login.ui.LoginActivity,,,
com.guardian:id/sign_in_button,,android.widget.LinearLayout,sign_in,.feature.login.ui.LoginActivity,.feature.setting.SettingsActivity,,
