id,xpath,class,canonical,current Activity,next Activity,type,additional info
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.view.ViewGroup[2]/android.widget.LinearLayout[2]/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[1],android.widget.FrameLayout,item_1,com.gannett.android.news.ui.activity.ActivityNavigation,com.gannett.android.news.ui.activity.ActivityArticle,,
com.usatoday.android.news:id/menuButtonBookmark,,android.widget.TextView,save_bookmark,com.gannett.android.news.ui.activity.ActivityArticle,,,
com.usatoday.android.news:id/saved_articles_tab,,android.widget.FrameLayout,menu_bookmark,com.gannett.android.news.ui.activity.ActivityNavigation,,,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.view.ViewGroup[2]/android.widget.LinearLayout[2]/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout,android.widget.FrameLayout,item_1,com.gannett.android.news.ui.activity.ActivityNavigation,com.gannett.android.news.ui.activity.ActivityArticle,,
com.usatoday.android.news:id/menuButtonBookmark,,android.widget.TextView,remove_bookmark,com.gannett.android.news.ui.activity.ActivityArticle,,,
com.usatoday.android.news:id/button_articleTextSize,,android.widget.TextView,menu_textsize,com.gannett.android.news.ui.activity.ActivityArticle,,,
android:id/text1,,android.widget.CheckedTextView,change_textsize,com.gannett.android.news.ui.activity.ActivityArticle,,,
com.usatoday.android.news:id/settings_gear,,android.widget.TextView,menu_settings,com.gannett.android.news.ui.activity.ActivityNavigation,,,
com.usatoday.android.news:id/preference_layout,,android.widget.LinearLayout,about,com.gannett.android.news.ui.activity.ActivityNavigation,,,
com.usatoday.android.news:id/sections_tab,,android.widget.FrameLayout,category,com.gannett.android.news.ui.activity.ActivityNavigation,,,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.view.ViewGroup[2]/android.widget.LinearLayout[2]/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[1]/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout,android.widget.FrameLayout,cat_1,com.gannett.android.news.ui.activity.ActivityNavigation,,,
com.usatoday.android.news:id/preference_layout,,android.widget.LinearLayout,help,com.gannett.android.news.ui.activity.ActivityNavigation,,,
com.usatoday.android.news:id/preference_layout,,android.widget.LinearLayout,contact,com.gannett.android.news.ui.activity.ActivityNavigation,,,
com.usatoday.android.news:id/preference_layout,,android.widget.LinearLayout,legal,com.gannett.android.news.ui.activity.ActivityNavigation,com.gannett.android.news.ui.activity.ActivityLawyerese,,
,"//android.widget.ImageButton[@content-desc=""Navigate up""]",android.widget.ImageButton,back,com.gannett.android.news.ui.activity.ActivityArticle,com.gannett.android.news.ui.activity.ActivityNavigation,,
