method,json
<AliExpress.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/main_tab_profile"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout[2]/android.widget.Button[2]"", ""action"": ""click""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/login_email"", ""action"": ""sendKeys""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/login_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/lbl_reset_password"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/main_tab_profile"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/sign_up"", ""action"": ""click""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/login_email"", ""action"": ""sendKeys""}, {""input"": ""aaa"", ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/login_first_name"", ""action"": ""sendKeys""}, {""input"": ""bbb"", ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/login_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/register_register"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testAbout()>,"[{""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/main_tab_profile"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/profile_setting"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testAddress()>,"[{""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/main_tab_profile"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout[2]/android.widget.Button[2]"", ""action"": ""click""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/login_email"", ""action"": ""sendKeys""}, {""input"": ""ThisResearchIsCool"", ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/login_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/lbl_reset_password"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/main_tab_profile"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/main_tab_search"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.TabHost/android.widget.FrameLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout[2]/android.widget.ListView/android.widget.LinearLayout[1]/android.widget.TextView"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/main_tab_profile"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testHelp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/main_tab_profile"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/profile_help"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/main_tab_profile"", ""action"": ""click""}]"
<AliExpress.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/lbl_search"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/edt_keyword_search"", ""action"": ""sendKeys""}]"
<AliExpress.RepresentativeTests: void testFilter()>,"[{""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/lbl_search"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/edt_keyword_search"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.thirdrock.fivemiles:id/cbx_sort_price_asc"", ""action"": ""click""}]"
