method,json
<Etsy.RepresentativeTests: void testSignIn()>,"[{""id_or_xpath"": ""/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.LinearLayout/android.widget.HorizontalScrollView/android.widget.LinearLayout/android.support.v7.app.ActionBar.Tab[1]"", ""action"": ""click""}, {""id_or_xpath"": ""com.alibaba.aliexpresshd:id/btn_sign_in"", ""action"": ""click""}, {""id_or_xpath"": ""com.alibaba.aliexpresshd:id/et_email"", ""input"": ""yixueresearch"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.alibaba.aliexpresshd:id/et_password"", ""input"": ""***REMOVED***"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.alibaba.aliexpresshd:id/rl_ali_sign_in_btn"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testSignUp()>,"[{""id_or_xpath"": ""/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.LinearLayout/android.widget.HorizontalScrollView/android.widget.LinearLayout/android.support.v7.app.ActionBar.Tab[1]"", ""action"": ""click""}, {""id_or_xpath"": ""com.alibaba.aliexpresshd:id/btn_register"", ""action"": ""click""}, {""id_or_xpath"": ""com.alibaba.aliexpresshd:id/et_email"", ""input"": ""yixueresearch"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.alibaba.aliexpresshd:id/et_email"", ""input"": ""aaa"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.alibaba.aliexpresshd:id/et_password"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""NONE"", ""input"": ""bbb"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.alibaba.aliexpresshd:id/rl_ali_register_btn"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testAbout()>,"[{""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\\"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]"", ""action"": ""click""}, {""id_or_xpath"": ""/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.RelativeLayout[10]"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testAccount()>,"[{""id_or_xpath"": ""/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.LinearLayout/android.widget.HorizontalScrollView/android.widget.LinearLayout/android.support.v7.app.ActionBar.Tab[1]"", ""action"": ""click""}, {""id_or_xpath"": ""com.alibaba.aliexpresshd:id/btn_sign_in"", ""action"": ""click""}, {""id_or_xpath"": ""com.alibaba.aliexpresshd:id/et_email"", ""input"": ""yixueresearch"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.alibaba.aliexpresshd:id/et_password"", ""input"": ""***REMOVED***"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.alibaba.aliexpresshd:id/rl_ali_sign_in_btn"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\\"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[2]/android.widget.ImageView"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testCategory()>,"[{""id_or_xpath"": ""com.alibaba.aliexpresshd:id/search_hint"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]/android.widget.TextView"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testContact()>,[]
<Etsy.RepresentativeTests: void testHelp()>,"[{""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\\"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\\"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@//android.view.View[@content-desc=\\"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testMenu()>,"[{""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\\"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testSearch()>,"[{""id_or_xpath"": ""com.alibaba.aliexpresshd:id/search_hint"", ""action"": ""click""}, {""id_or_xpath"": ""com.alibaba.aliexpresshd:id/abs__search_src_text"", ""input"": ""aa\\n"", ""action"": ""sendKeys""}]"
<Etsy.RepresentativeTests: void testFilter()>,"[{""id_or_xpath"": ""com.alibaba.aliexpresshd:id/search_hint"", ""action"": ""click""}, {""id_or_xpath"": ""com.alibaba.aliexpresshd:id/search_hint"", ""input"": ""aa\\n"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""id_or_xpath"": ""com.alibaba.aliexpresshd:id/tv_spinner_item"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.LinearLayout[4]/android.widget.TextView"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@(//android.widget.ImageView[@content-desc=\\"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testDetail()>,"[{""id_or_xpath"": ""com.alibaba.aliexpresshd:id/search_hint"", ""action"": ""click""}, {""id_or_xpath"": ""com.alibaba.aliexpresshd:id/abs__search_src_text"", ""input"": ""aa\\n"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.alibaba.aliexpresshd:id/search_hint"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testAddCart()>,"[{""id_or_xpath"": ""com.alibaba.aliexpresshd:id/search_hint"", ""action"": ""click""}, {""id_or_xpath"": ""com.alibaba.aliexpresshd:id/abs__search_src_text"", ""input"": ""aa\\n"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.FrameLayout[3]/android.view.ViewGroup/android.widget.ImageView[1]"", ""action"": ""click""}, {""id_or_xpath"": ""com.alibaba.aliexpresshd:id/ll_addToCart"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testCart()>,"[{""id_or_xpath"": ""com.alibaba.aliexpresshd:id/search_hint"", ""action"": ""click""}, {""id_or_xpath"": ""com.alibaba.aliexpresshd:id/abs__search_src_text"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.FrameLayout[3]/android.view.ViewGroup/android.widget.ImageView[1]"", ""action"": ""click""}, {""id_or_xpath"": ""com.alibaba.aliexpresshd:id/ll_addToCart"", ""action"": ""click""}, {""id_or_xpath"": ""com.alibaba.aliexpresshd:id/menu_delete"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testTerms()>,"[{""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\\"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]"", ""action"": ""click""}, {""id_or_xpath"": ""com.alibaba.aliexpresshd:id/rl_privacy_policy_settings"", ""action"": ""click""}]"
