method,json
<Etsy.RepresentativeTests: void testSignIn()>,"[{""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""id_or_xpath"": ""com.contextlogic.wish:id/sign_in_fragment_email_text"", ""input"": ""yixueresearch"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.contextlogic.wish:id/sign_in_fragment_password_text"", ""input"": ""***REMOVED***"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testSignUp()>,"[{""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""id_or_xpath"": ""com.contextlogic.wish:id/sign_in_fragment_create_account_button"", ""action"": ""click""}, {""id_or_xpath"": ""com.contextlogic.wish:id/create_account_fragment_email_text"", ""input"": ""yixueresearch"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.contextlogic.wish:id/sign_in_fragment_email_text"", ""input"": ""aaa"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.contextlogic.wish:id/create_account_fragment_password_text"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""NONE"", ""input"": ""bbb"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.contextlogic.wish:id/create_account_fragment_create_account_button"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testAbout()>,"[{""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\\"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]"", ""action"": ""click""}, {""id_or_xpath"": ""/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout[3]/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.LinearLayout"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testAccount()>,"[{""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""id_or_xpath"": ""com.contextlogic.wish:id/sign_in_fragment_email_text"", ""input"": ""yixueresearch"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.contextlogic.wish:id/sign_in_fragment_password_text"", ""input"": ""***REMOVED***"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\\"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[2]/android.widget.ImageView"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testCategory()>,"[{""id_or_xpath"": ""//android.widget.TextView[@content-desc=\""Search\""]"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]/android.widget.TextView"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testContact()>,[]
<Etsy.RepresentativeTests: void testHelp()>,"[{""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\\"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\\"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@//android.view.View[@content-desc=\\"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testMenu()>,"[{""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\\"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testSearch()>,"[{""id_or_xpath"": ""//android.widget.TextView[@content-desc=\""Search\""]"", ""action"": ""click""}, {""id_or_xpath"": ""com.contextlogic.wish:id/search_src_text"", ""input"": ""aa\\n"", ""action"": ""sendKeys""}]"
<Etsy.RepresentativeTests: void testFilter()>,"[{""id_or_xpath"": ""//android.widget.TextView[@content-desc=\""Search\""]"", ""action"": ""click""}, {""id_or_xpath"": ""//android.widget.TextView[@content-desc=\""Search\""]"", ""input"": ""aa\\n"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""//android.widget.TextView[@content-desc=\""Filter\""]"", ""action"": ""click""}, {""id_or_xpath"": ""/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.widget.ScrollView/android.widget.LinearLayout/android.widget.LinearLayout/android.view.View"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.LinearLayout[4]/android.widget.TextView"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@(//android.widget.ImageView[@content-desc=\\"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testDetail()>,"[{""id_or_xpath"": ""//android.widget.TextView[@content-desc=\""Search\""]"", ""action"": ""click""}, {""id_or_xpath"": ""com.contextlogic.wish:id/search_src_text"", ""input"": ""aa\\n"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""//android.widget.TextView[@content-desc=\""Search\""]"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testAddCart()>,"[{""id_or_xpath"": ""//android.widget.TextView[@content-desc=\""Search\""]"", ""action"": ""click""}, {""id_or_xpath"": ""com.contextlogic.wish:id/search_src_text"", ""input"": ""aa\\n"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.FrameLayout[3]/android.view.ViewGroup/android.widget.ImageView[1]"", ""action"": ""click""}, {""id_or_xpath"": ""com.contextlogic.wish:id/product_details_fragment_add_to_cart_button"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testCart()>,"[{""id_or_xpath"": ""//android.widget.TextView[@content-desc=\""Search\""]"", ""action"": ""click""}, {""id_or_xpath"": ""com.contextlogic.wish:id/search_src_text"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.FrameLayout[3]/android.view.ViewGroup/android.widget.ImageView[1]"", ""action"": ""click""}, {""id_or_xpath"": ""com.contextlogic.wish:id/product_details_fragment_add_to_cart_button"", ""action"": ""click""}, {""id_or_xpath"": ""/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.Button"", ""action"": ""click""}]"
<Etsy.RepresentativeTests: void testTerms()>,"[{""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\\"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]"", ""action"": ""click""}, {""id_or_xpath"": ""/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.ListView/android.widget.FrameLayout[7]/android.widget.TextView"", ""action"": ""click""}]"
