method,json
<FiveMiles.RepresentativeTests: void testSignIn()>,"[{""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout[2]/android.widget.Button[2]"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/TextInputLayout[1]/android.widget.FrameLayout/android.widget.EditText"", ""input"": ""***REMOVED***"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/TextInputLayout[2]/android.widget.FrameLayout/android.widget.EditText"", ""input"": ""researchiscool"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.etsy.android:id/button_signin"", ""action"": ""click""}]"
<FiveMiles.RepresentativeTests: void testSignUp()>,"[{""id_or_xpath"": ""com.etsy.android:id/btn_register_dialog"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/TextInputLayout[3]/android.widget.FrameLayout/android.widget.EditText"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.etsy.android:id/edit_username"", ""input"": ""aaa"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/TextInputLayout[4]/android.widget.FrameLayout/android.widget.EditText"", ""input"": ""bbb"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.etsy.android:id/button_register"", ""action"": ""click""}]"
<FiveMiles.RepresentativeTests: void testAbout()>,"[{""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout[2]/android.widget.Button[2]"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/TextInputLayout[1]/android.widget.FrameLayout/android.widget.EditText"", ""input"": ""***REMOVED***"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/TextInputLayout[2]/android.widget.FrameLayout/android.widget.EditText"", ""input"": ""researchiscool"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.etsy.android:id/button_signin"", ""action"": ""click""}, {""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\\"", ""action"": ""click""}, {""id_or_xpath"": ""//android.widget.ImageButton[@content-desc=\""Navigate up\""]"", ""action"": ""click""}, {""id_or_xpath"": ""/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]"", ""action"": ""click""}, {""id_or_xpath"": ""com.etsy.android:id/about_row"", ""action"": ""click""}]"
<FiveMiles.RepresentativeTests: void testAccount()>,"[{""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout[2]/android.widget.Button[2]"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/TextInputLayout[1]/android.widget.FrameLayout/android.widget.EditText"", ""input"": ""***REMOVED***"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/TextInputLayout[2]/android.widget.FrameLayout/android.widget.EditText"", ""input"": ""researchiscool"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.etsy.android:id/button_signin"", ""action"": ""click""}, {""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\\"", ""action"": ""click""}, {""id_or_xpath"": ""//android.widget.ImageButton[@content-desc=\""Navigate up\""]"", ""action"": ""click""}]"
<FiveMiles.RepresentativeTests: void testCategory()>,"[{""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout[2]/android.widget.Button[2]"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/TextInputLayout[1]/android.widget.FrameLayout/android.widget.EditText"", ""input"": ""***REMOVED***"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/TextInputLayout[2]/android.widget.FrameLayout/android.widget.EditText"", ""input"": ""researchiscool"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.etsy.android:id/button_signin"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/TextInputLayout[1]/android.widget.FrameLayout/android.widget.EditText"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\\"", ""action"": ""click""}, {""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.TabHost/android.widget.FrameLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout[2]/android.widget.ListView/android.widget.LinearLayout[1]/android.widget.TextView"", ""action"": ""click""}]"
<FiveMiles.RepresentativeTests: void testContact()>,[]
<FiveMiles.RepresentativeTests: void testHelp()>,"[{""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout[2]/android.widget.Button[2]"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/TextInputLayout[1]/android.widget.FrameLayout/android.widget.EditText"", ""input"": ""***REMOVED***"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/TextInputLayout[2]/android.widget.FrameLayout/android.widget.EditText"", ""input"": ""researchiscool"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.etsy.android:id/button_signin"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/TextInputLayout[1]/android.widget.FrameLayout/android.widget.EditText"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\\"", ""action"": ""click""}, {""id_or_xpath"": ""//android.widget.ImageButton[@content-desc=\""Navigate up\""]"", ""action"": ""click""}, {""id_or_xpath"": ""//android.view.View[@content-desc=\""Read our help page\""]"", ""action"": ""click""}]"
<FiveMiles.RepresentativeTests: void testMenu()>,"[{""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout[2]/android.widget.Button[2]"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/TextInputLayout[1]/android.widget.FrameLayout/android.widget.EditText"", ""input"": ""***REMOVED***"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/TextInputLayout[2]/android.widget.FrameLayout/android.widget.EditText"", ""input"": ""researchiscool"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.etsy.android:id/button_signin"", ""action"": ""click""}, {""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\\"", ""action"": ""click""}, {""id_or_xpath"": ""//android.widget.ImageButton[@content-desc=\""Navigate up\""]"", ""action"": ""click""}]"
<FiveMiles.RepresentativeTests: void testSearch()>,"[{""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout[2]/android.widget.Button[2]"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/TextInputLayout[1]/android.widget.FrameLayout/android.widget.EditText"", ""input"": ""***REMOVED***"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/TextInputLayout[2]/android.widget.FrameLayout/android.widget.EditText"", ""input"": ""researchiscool"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.etsy.android:id/button_signin"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/TextInputLayout[1]/android.widget.FrameLayout/android.widget.EditText"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\\"", ""action"": ""click""}, {""id_or_xpath"": ""com.etsy.android:id/menu_search"", ""action"": ""click""}, {""id_or_xpath"": ""com.etsy.android:id/search_src_text"", ""input"": ""aa\\n"", ""action"": ""sendKeys""}]"
<FiveMiles.RepresentativeTests: void testFilter()>,"[{""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout[2]/android.widget.Button[2]"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/TextInputLayout[1]/android.widget.FrameLayout/android.widget.EditText"", ""input"": ""***REMOVED***"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/TextInputLayout[2]/android.widget.FrameLayout/android.widget.EditText"", ""input"": ""researchiscool"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.etsy.android:id/button_signin"", ""action"": ""click""}, {""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\\"", ""action"": ""click""}, {""id_or_xpath"": ""com.etsy.android:id/menu_search"", ""action"": ""click""}, {""id_or_xpath"": ""com.etsy.android:id/search_src_text"", ""action"": ""sendKeys""}, {""id_or_xpath"": ""com.etsy.android:id/filters_text_view"", ""action"": ""click""}, {""id_or_xpath"": ""/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.LinearLayout[4]/android.widget.TextView"", ""action"": ""click""}, {""id_or_xpath"": ""(//android.widget.ImageView[@content-desc=\""Favorite\""])[2]"", ""action"": ""click""}]"
