method,json
<Wish.RepresentativeTests: void testSignIn()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_email"", ""action"": ""sendKeys""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/rl_ali_sign_in_btn"", ""action"": ""click""}]"
<Wish.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/btn_register"", ""action"": ""click""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_email"", ""action"": ""sendKeys""}, {""input"": ""aaa"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_first_name"", ""action"": ""sendKeys""}, {""input"": ""bbb"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/rl_ali_register_btn"", ""action"": ""click""}]"
<Wish.RepresentativeTests: void testAbout()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_email"", ""action"": ""sendKeys""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/rl_ali_sign_in_btn"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/left_action"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.RelativeLayout[10]"", ""action"": ""click""}]"
<Wish.RepresentativeTests: void testAccount()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_email"", ""action"": ""sendKeys""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/rl_ali_sign_in_btn"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/left_action"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/profile_image"", ""action"": ""click""}]"
<Wish.RepresentativeTests: void testAddress()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_email"", ""action"": ""sendKeys""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/rl_ali_sign_in_btn"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/left_action"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.RelativeLayout[10]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/ll_add_address"", ""action"": ""click""}, {""input"": ""941 Bloom Walk"", ""id_or_xpath"": ""xpath@??"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@??"", ""action"": ""click""}]"
<Wish.RepresentativeTests: void testCategory()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_email"", ""action"": ""sendKeys""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/rl_ali_sign_in_btn"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[2]/android.widget.RelativeLayout/android.widget.FrameLayout[1]/android.widget.RelativeLayout/android.widget.LinearLayout"", ""action"": ""click""}]"
<Wish.RepresentativeTests: void testContact()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_email"", ""action"": ""sendKeys""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/rl_ali_sign_in_btn"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/left_action"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.RelativeLayout[12]"", ""action"": ""click""}]"
<Wish.RepresentativeTests: void testHelp()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_email"", ""action"": ""sendKeys""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/rl_ali_sign_in_btn"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/left_action"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.RelativeLayout[13]"", ""action"": ""click""}]"
<Wish.RepresentativeTests: void testMenu()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_email"", ""action"": ""sendKeys""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/rl_ali_sign_in_btn"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/left_action"", ""action"": ""click""}]"
<Wish.RepresentativeTests: void testSearch()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_email"", ""action"": ""sendKeys""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/et_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/rl_ali_sign_in_btn"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/search_hint"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.alibaba.aliexpresshd:id/abs__search_src_text"", ""action"": ""sendKeys""}]"
