method,json
<Wish.RepresentativeTests: void testSignIn()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_username"", ""action"": ""sendKeys""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/button_signin"", ""action"": ""click""}]"
<Wish.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/btn_register_dialog"", ""action"": ""click""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_email"", ""action"": ""sendKeys""}, {""input"": ""aaa"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_username"", ""action"": ""sendKeys""}, {""input"": ""bbb"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_register_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/button_register"", ""action"": ""click""}]"
<Wish.RepresentativeTests: void testAbout()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_username"", ""action"": ""sendKeys""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/button_signin"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Navigate up\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]"", ""action"": ""click""}]"
<Wish.RepresentativeTests: void testAccount()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_username"", ""action"": ""sendKeys""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/button_signin"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Navigate up\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[2]/android.widget.ImageView"", ""action"": ""click""}]"
<Wish.RepresentativeTests: void testAddress()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_username"", ""action"": ""sendKeys""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/button_signin"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Navigate up\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": ""941 Bloom Walk"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<Wish.RepresentativeTests: void testCategory()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_username"", ""action"": ""sendKeys""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/button_signin"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]/android.widget.TextView"", ""action"": ""click""}]"
<Wish.RepresentativeTests: void testContact()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_username"", ""action"": ""sendKeys""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/button_signin"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Navigate up\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<Wish.RepresentativeTests: void testHelp()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_username"", ""action"": ""sendKeys""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/button_signin"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Navigate up\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.view.View[@content-desc=\""Read our help page\""]"", ""action"": ""click""}]"
<Wish.RepresentativeTests: void testMenu()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_username"", ""action"": ""sendKeys""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/button_signin"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Navigate up\""]"", ""action"": ""click""}]"
<Wish.RepresentativeTests: void testSearch()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_username"", ""action"": ""sendKeys""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/button_signin"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/menu_search"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.etsy.android:id/search_src_text"", ""action"": ""sendKeys""}]"
<Wish.RepresentativeTests: void testFilter()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_username"", ""action"": ""sendKeys""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/button_signin"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/filters_text_view"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/search_filters_sort_by_text"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/search_filters_sort_by_text"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@(//android.widget.ImageView[@content-desc=\""Favorite\""])[2]"", ""action"": ""click""}]"
<Wish.RepresentativeTests: void testDetail()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_username"", ""action"": ""sendKeys""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/button_signin"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/menu_search"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.etsy.android:id/search_src_text"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.FrameLayout[3]/android.view.ViewGroup/android.widget.ImageView[1]"", ""action"": ""click""}]"
<Wish.RepresentativeTests: void testAddCart()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_username"", ""action"": ""sendKeys""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/button_signin"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/menu_search"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.etsy.android:id/search_src_text"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.FrameLayout[3]/android.view.ViewGroup/android.widget.ImageView[1]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/button_cart"", ""action"": ""click""}]"
<Wish.RepresentativeTests: void testCart()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_username"", ""action"": ""sendKeys""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/button_signin"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/menu_search"", ""action"": ""click""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.etsy.android:id/search_src_text"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.FrameLayout[3]/android.view.ViewGroup/android.widget.ImageView[1]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/button_cart"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<Wish.RepresentativeTests: void testTerms()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_username"", ""action"": ""sendKeys""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_password"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/button_signin"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Navigate up\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/legal_row"", ""action"": ""click""}]"
