method,src_events,transferred,gt_events,source,target,gui_mapper,correct,incorrect,missed,nonExist,num_correct,num_incorrect,num_missed,num_nonExist,accuracy_precision,accuracy_recall,accuracy,distance
<newsrepublic.RepresentativeTests: void testSearch()>,"['id@com.mobilesrepublic.appy:id/search_bar_layout', 'id@com.mobilesrepublic.appy:id/search_input']","[{}, {}]","['id@com.mobilesrepublic.appy:id/search_bar_layout', 'id@com.mobilesrepublic.appy:id/search_input']",newsrepublic,newsrepublic,gtm,[],[],"['id@com.mobilesrepublic.appy:id/search_bar_layout', 'id@com.mobilesrepublic.appy:id/search_input']",[],0,0,2,0,NA,0.0,0.0,2.0
<newsrepublic.RepresentativeTests: void testDetail()>,"['id@com.mobilesrepublic.appy:id/search_bar_layout', 'id@com.mobilesrepublic.appy:id/search_input', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/com.ss.android.uilib.base.page.slideback.SlideFrameLayout/android.widget.RelativeLayout/android.webkit.WebView/android.webkit.WebView/android.view.View/android.view.View[2]/android.view.View/android.widget.ListView/android.view.View[2]']","[{}, {}, {}]","['id@com.mobilesrepublic.appy:id/search_bar_layout', 'id@com.mobilesrepublic.appy:id/search_input', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/com.ss.android.uilib.base.page.slideback.SlideFrameLayout/android.widget.RelativeLayout/android.webkit.WebView/android.webkit.WebView/android.view.View/android.view.View[2]/android.view.View/android.widget.ListView/android.view.View[2]']",newsrepublic,newsrepublic,gtm,[],[],"['id@com.mobilesrepublic.appy:id/search_bar_layout', 'id@com.mobilesrepublic.appy:id/search_input', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/com.ss.android.uilib.base.page.slideback.SlideFrameLayout/android.widget.RelativeLayout/android.webkit.WebView/android.webkit.WebView/android.view.View/android.view.View[2]/android.view.View/android.widget.ListView/android.view.View[2]']",[],0,0,3,0,NA,0.0,0.0,3.0
<newsrepublic.RepresentativeTests: void testAddBookmark()>,"['id@com.mobilesrepublic.appy:id/search_bar_layout', 'id@com.mobilesrepublic.appy:id/search_input', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/com.ss.android.uilib.base.page.slideback.SlideFrameLayout/android.widget.RelativeLayout/android.webkit.WebView/android.webkit.WebView/android.view.View/android.view.View[2]/android.view.View/android.widget.ListView/android.view.View[2]', 'id@com.mobilesrepublic.appy:id/top_more_title', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/androidx.recyclerview.widget.RecyclerView/androidx.recyclerview.widget.RecyclerView[2]/android.view.ViewGroup[1]']","[{}, {}, {}, {}, {}]","['id@com.mobilesrepublic.appy:id/search_bar_layout', 'id@com.mobilesrepublic.appy:id/search_input', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/com.ss.android.uilib.base.page.slideback.SlideFrameLayout/android.widget.RelativeLayout/android.webkit.WebView/android.webkit.WebView/android.view.View/android.view.View[2]/android.view.View/android.widget.ListView/android.view.View[2]', 'id@com.mobilesrepublic.appy:id/top_more_title', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/androidx.recyclerview.widget.RecyclerView/androidx.recyclerview.widget.RecyclerView[2]/android.view.ViewGroup[1]']",newsrepublic,newsrepublic,gtm,[],[],"['id@com.mobilesrepublic.appy:id/search_bar_layout', 'id@com.mobilesrepublic.appy:id/search_input', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/com.ss.android.uilib.base.page.slideback.SlideFrameLayout/android.widget.RelativeLayout/android.webkit.WebView/android.webkit.WebView/android.view.View/android.view.View[2]/android.view.View/android.widget.ListView/android.view.View[2]', 'id@com.mobilesrepublic.appy:id/top_more_title', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/androidx.recyclerview.widget.RecyclerView/androidx.recyclerview.widget.RecyclerView[2]/android.view.ViewGroup[1]']",[],0,0,5,0,NA,0.0,0.0,5.0
<newsrepublic.RepresentativeTests: void testRemoveBookmark()>,"['id@com.mobilesrepublic.appy:id/search_bar_layout', 'id@com.mobilesrepublic.appy:id/search_input', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/com.ss.android.uilib.base.page.slideback.SlideFrameLayout/android.widget.RelativeLayout/android.webkit.WebView/android.webkit.WebView/android.view.View/android.view.View[2]/android.view.View/android.widget.ListView/android.view.View[2]', 'id@com.mobilesrepublic.appy:id/top_more_title', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/androidx.recyclerview.widget.RecyclerView/androidx.recyclerview.widget.RecyclerView[2]/android.view.ViewGroup[1]', 'id@com.mobilesrepublic.appy:id/back', 'id@com.mobilesrepublic.appy:id/back', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.RelativeLayout[4]', 'id@com.mobilesrepublic.appy:id/siginin_back', 'id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_saved', 'id@com.mobilesrepublic.appy:id/root', 'id@com.mobilesrepublic.appy:id/top_more_title', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/androidx.recyclerview.widget.RecyclerView/androidx.recyclerview.widget.RecyclerView[2]/android.view.ViewGroup[1]']","[{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]","['id@com.mobilesrepublic.appy:id/search_bar_layout', 'id@com.mobilesrepublic.appy:id/search_input', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/com.ss.android.uilib.base.page.slideback.SlideFrameLayout/android.widget.RelativeLayout/android.webkit.WebView/android.webkit.WebView/android.view.View/android.view.View[2]/android.view.View/android.widget.ListView/android.view.View[2]', 'id@com.mobilesrepublic.appy:id/top_more_title', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/androidx.recyclerview.widget.RecyclerView/androidx.recyclerview.widget.RecyclerView[2]/android.view.ViewGroup[1]', 'id@com.mobilesrepublic.appy:id/back', 'id@com.mobilesrepublic.appy:id/back', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.RelativeLayout[4]', 'id@com.mobilesrepublic.appy:id/siginin_back', 'id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_saved', 'id@com.mobilesrepublic.appy:id/root', 'id@com.mobilesrepublic.appy:id/top_more_title', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/androidx.recyclerview.widget.RecyclerView/androidx.recyclerview.widget.RecyclerView[2]/android.view.ViewGroup[1]']",newsrepublic,newsrepublic,gtm,[],[],"['id@com.mobilesrepublic.appy:id/search_bar_layout', 'id@com.mobilesrepublic.appy:id/search_input', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/com.ss.android.uilib.base.page.slideback.SlideFrameLayout/android.widget.RelativeLayout/android.webkit.WebView/android.webkit.WebView/android.view.View/android.view.View[2]/android.view.View/android.widget.ListView/android.view.View[2]', 'id@com.mobilesrepublic.appy:id/top_more_title', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/androidx.recyclerview.widget.RecyclerView/androidx.recyclerview.widget.RecyclerView[2]/android.view.ViewGroup[1]', 'id@com.mobilesrepublic.appy:id/back', 'id@com.mobilesrepublic.appy:id/back', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.RelativeLayout[4]', 'id@com.mobilesrepublic.appy:id/siginin_back', 'id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_saved', 'id@com.mobilesrepublic.appy:id/root', 'id@com.mobilesrepublic.appy:id/top_more_title', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/androidx.recyclerview.widget.RecyclerView/androidx.recyclerview.widget.RecyclerView[2]/android.view.ViewGroup[1]']",[],0,0,13,0,NA,0.0,0.0,13.0
<newsrepublic.RepresentativeTests: void testAccount()>,['xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.RelativeLayout[4]'],[{}],['xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.RelativeLayout[4]'],newsrepublic,newsrepublic,gtm,[],[],['xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.RelativeLayout[4]'],[],0,0,1,0,NA,0.0,0.0,1.0
<newsrepublic.RepresentativeTests: void testTextSize()>,"['xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.RelativeLayout[4]', 'id@com.mobilesrepublic.appy:id/siginin_back', 'id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_settings', 'id@com.mobilesrepublic.appy:id/setting_font_size', 'id@android:id/text1']","[{}, {}, {}, {}, {""id"": ""android:id/text1"", ""class"": ""android.widget.CheckedTextView"", ""bounds"": ""[69,1259][1011,1385]""}]","['xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.RelativeLayout[4]', 'id@com.mobilesrepublic.appy:id/siginin_back', 'id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_settings', 'id@com.mobilesrepublic.appy:id/setting_font_size', 'id@android:id/text1']",newsrepublic,newsrepublic,gtm,['id@android:id/text1'],[],"['xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.RelativeLayout[4]', 'id@com.mobilesrepublic.appy:id/siginin_back', 'id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_settings', 'id@com.mobilesrepublic.appy:id/setting_font_size']",[],1,0,4,0,1.0,0.2,0.2,4.0
<newsrepublic.RepresentativeTests: void testCategory()>,['xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.LinearLayout/android.widget.RelativeLayout/android.widget.HorizontalScrollView/android.widget.LinearLayout/android.widget.FrameLayout[2]'],[{}],['xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.LinearLayout/android.widget.RelativeLayout/android.widget.HorizontalScrollView/android.widget.LinearLayout/android.widget.FrameLayout[2]'],newsrepublic,newsrepublic,gtm,[],[],['xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.LinearLayout/android.widget.RelativeLayout/android.widget.HorizontalScrollView/android.widget.LinearLayout/android.widget.FrameLayout[2]'],[],0,0,1,0,NA,0.0,0.0,1.0
<newsrepublic.RepresentativeTests: void testContact()>,"['xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.RelativeLayout[4]', 'id@com.mobilesrepublic.appy:id/siginin_back', 'id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_feedback']","[{}, {}, {}]","['xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.RelativeLayout[4]', 'id@com.mobilesrepublic.appy:id/siginin_back', 'id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_feedback']",newsrepublic,newsrepublic,gtm,[],[],"['xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.RelativeLayout[4]', 'id@com.mobilesrepublic.appy:id/siginin_back', 'id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_feedback']",[],0,0,3,0,NA,0.0,0.0,3.0
<newsrepublic.RepresentativeTests: void testMenu()>,"['xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.RelativeLayout[4]', 'id@com.mobilesrepublic.appy:id/siginin_back']","[{}, {}]","['xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.RelativeLayout[4]', 'id@com.mobilesrepublic.appy:id/siginin_back']",newsrepublic,newsrepublic,gtm,[],[],"['xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.RelativeLayout[4]', 'id@com.mobilesrepublic.appy:id/siginin_back']",[],0,0,2,0,NA,0.0,0.0,2.0
<newsrepublic.RepresentativeTests: void testTerms()>,"['xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.RelativeLayout[4]', 'id@com.mobilesrepublic.appy:id/siginin_back', 'id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_settings', 'id@com.mobilesrepublic.appy:id/privacy_safety', 'id@com.mobilesrepublic.appy:id/privacy_setting_service_terms']","[{}, {}, {}, {}, {}]","['xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.RelativeLayout[4]', 'id@com.mobilesrepublic.appy:id/siginin_back', 'id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_settings', 'id@com.mobilesrepublic.appy:id/privacy_safety', 'id@com.mobilesrepublic.appy:id/privacy_setting_service_terms']",newsrepublic,newsrepublic,gtm,[],[],"['xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.RelativeLayout[4]', 'id@com.mobilesrepublic.appy:id/siginin_back', 'id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_settings', 'id@com.mobilesrepublic.appy:id/privacy_safety', 'id@com.mobilesrepublic.appy:id/privacy_setting_service_terms']",[],0,0,5,0,NA,0.0,0.0,5.0
