method,src_events,transferred,gt_events,source,target,gui_mapper,correct,incorrect,missed,nonExist,num_correct,num_incorrect,num_missed,num_nonExist,accuracy_precision,accuracy_recall,accuracy,distance
<Groupon.RepresentativeTests: void testSignIn()>,"['id@com.groupon:id/done', 'id@com.groupon:id/fragment_log_in_sign_up_email', 'id@com.groupon:id/fragment_log_in_sign_up_password', 'id@com.groupon:id/fragment_log_in_sign_up_groupon_button']","[{""id"": ""com.groupon:id/done"", ""class"": ""android.widget.Button"", ""bounds"": ""[195,2005][1245,2173]""}, {}, {}, {""id"": ""com.groupon:id/fragment_log_in_sign_up_groupon_button"", ""class"": ""android.widget.Button"", ""bounds"": ""[56,1445][1384,1642]""}]","['id@com.groupon:id/done', 'id@com.groupon:id/fragment_log_in_sign_up_email', 'id@com.groupon:id/fragment_log_in_sign_up_password', 'id@com.groupon:id/fragment_log_in_sign_up_groupon_button']",groupon,groupon,gtm,"['id@com.groupon:id/done', 'id@com.groupon:id/fragment_log_in_sign_up_groupon_button']",[],"['id@com.groupon:id/fragment_log_in_sign_up_email', 'id@com.groupon:id/fragment_log_in_sign_up_password']",[],2,0,2,0,1.0,0.5,0.5,2.0
<Groupon.RepresentativeTests: void testSignUp()>,"['id@com.groupon:id/done', 'xpath@//android.widget.TextView[@text=""NEW USER""]', 'id@com.groupon:id/fragment_log_in_sign_up_name', 'id@com.groupon:id/fragment_log_in_sign_up_email', 'id@com.groupon:id/fragment_log_in_sign_up_password', 'id@com.groupon:id/fragment_log_in_sign_up_groupon_button']","[{""id"": ""com.groupon:id/done"", ""class"": ""android.widget.Button"", ""bounds"": ""[195,2005][1245,2173]""}, {""id"": """", ""class"": ""android.widget.TextView"", ""bounds"": ""[720,367][1440,535]""}, {}, {}, {}, {""id"": ""com.groupon:id/fragment_log_in_sign_up_groupon_button"", ""class"": ""android.widget.Button"", ""bounds"": ""[56,1445][1384,1642]""}]","['id@com.groupon:id/done', 'xpath@//android.widget.TextView[@text=""NEW USER""]', 'id@com.groupon:id/fragment_log_in_sign_up_name', 'id@com.groupon:id/fragment_log_in_sign_up_email', 'id@com.groupon:id/fragment_log_in_sign_up_password', 'id@com.groupon:id/fragment_log_in_sign_up_groupon_button']",groupon,groupon,gtm,"['id@com.groupon:id/done', 'id@com.groupon:id/fragment_log_in_sign_up_groupon_button']","['xpath@//android.widget.TextView[@text=""NEW USER""]']","['id@com.groupon:id/fragment_log_in_sign_up_name', 'id@com.groupon:id/fragment_log_in_sign_up_email', 'id@com.groupon:id/fragment_log_in_sign_up_password']",[],2,1,3,0,0.6666666666666666,0.4,0.3333333333333333,3.0
<Groupon.RepresentativeTests: void testAbout()>,"['xpath@//android.widget.Button[@text=""Just show me the deals""]', 'id@com.groupon:id/my_stuff', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/androidx.viewpager.widget.ViewPager/android.widget.RelativeLayout/android.view.ViewGroup/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[5]/android.widget.FrameLayout']","[{""id"": """", ""class"": ""android.widget.Button"", ""bounds"": ""[195,2372][1245,2549]""}, {""id"": ""com.groupon:id/my_stuff"", ""class"": ""android.view.ViewGroup"", ""bounds"": ""[1080,2582][1440,2621]""}, {}]","['xpath@//android.widget.Button[@text=""Just show me the deals""]', 'id@com.groupon:id/my_stuff', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/androidx.viewpager.widget.ViewPager/android.widget.RelativeLayout/android.view.ViewGroup/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[5]/android.widget.FrameLayout']",groupon,groupon,gtm,"['xpath@//android.widget.Button[@text=""Just show me the deals""]', 'id@com.groupon:id/my_stuff']",[],['xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/androidx.viewpager.widget.ViewPager/android.widget.RelativeLayout/android.view.ViewGroup/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[5]/android.widget.FrameLayout'],[],2,0,1,0,1.0,0.6666666666666666,0.6666666666666666,1.0
<Groupon.RepresentativeTests: void testAccount()>,"['id@com.groupon:id/done', 'id@com.groupon:id/fragment_log_in_sign_up_email', 'id@com.groupon:id/fragment_log_in_sign_up_password', 'id@com.groupon:id/fragment_log_in_sign_up_groupon_button', 'id@com.groupon:id/my_stuff']","[{""id"": ""com.groupon:id/done"", ""class"": ""android.widget.Button"", ""bounds"": ""[195,2005][1245,2173]""}, {}, {}, {""id"": ""com.groupon:id/fragment_log_in_sign_up_groupon_button"", ""class"": ""android.widget.Button"", ""bounds"": ""[56,1445][1384,1642]""}, {""id"": ""com.groupon:id/my_stuff"", ""class"": ""android.view.ViewGroup"", ""bounds"": ""[1080,2582][1440,2621]""}]","['id@com.groupon:id/done', 'id@com.groupon:id/fragment_log_in_sign_up_email', 'id@com.groupon:id/fragment_log_in_sign_up_password', 'id@com.groupon:id/fragment_log_in_sign_up_groupon_button', 'id@com.groupon:id/my_stuff']",groupon,groupon,gtm,"['id@com.groupon:id/done', 'id@com.groupon:id/fragment_log_in_sign_up_groupon_button', 'id@com.groupon:id/my_stuff']",[],"['id@com.groupon:id/fragment_log_in_sign_up_email', 'id@com.groupon:id/fragment_log_in_sign_up_password']",[],3,0,2,0,1.0,0.6,0.6,2.0
<Groupon.RepresentativeTests: void testCategory()>,"['xpath@//android.widget.Button[@text=""Just show me the deals""]', 'id@com.groupon:id/category_icon', 'id@com.groupon:id/categoryCardContentContainer']","[{""id"": """", ""class"": ""android.widget.Button"", ""bounds"": ""[195,2372][1245,2549]""}, {""id"": ""com.groupon:id/category_icon"", ""class"": ""android.widget.ImageView"", ""bounds"": ""[1121,200][1258,337]""}, {}]","['xpath@//android.widget.Button[@text=""Just show me the deals""]', 'id@com.groupon:id/category_icon', 'id@com.groupon:id/categoryCardContentContainer']",groupon,groupon,gtm,"['xpath@//android.widget.Button[@text=""Just show me the deals""]', 'id@com.groupon:id/category_icon']",[],['id@com.groupon:id/categoryCardContentContainer'],[],2,0,1,0,1.0,0.6666666666666666,0.6666666666666666,1.0
<Groupon.RepresentativeTests: void testContact()>,"['xpath@//android.widget.Button[@text=""Just show me the deals""]', 'id@com.groupon:id/my_stuff', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/androidx.viewpager.widget.ViewPager/android.widget.RelativeLayout/android.view.ViewGroup/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[2]/android.widget.RelativeLayout']","[{""id"": """", ""class"": ""android.widget.Button"", ""bounds"": ""[195,2372][1245,2549]""}, {""id"": ""com.groupon:id/my_stuff"", ""class"": ""android.view.ViewGroup"", ""bounds"": ""[1080,2582][1440,2621]""}, {}]","['xpath@//android.widget.Button[@text=""Just show me the deals""]', 'id@com.groupon:id/my_stuff', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/androidx.viewpager.widget.ViewPager/android.widget.RelativeLayout/android.view.ViewGroup/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[2]/android.widget.RelativeLayout']",groupon,groupon,gtm,"['xpath@//android.widget.Button[@text=""Just show me the deals""]', 'id@com.groupon:id/my_stuff']",[],['xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/androidx.viewpager.widget.ViewPager/android.widget.RelativeLayout/android.view.ViewGroup/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[2]/android.widget.RelativeLayout'],[],2,0,1,0,1.0,0.6666666666666666,0.6666666666666666,1.0
<Groupon.RepresentativeTests: void testSearch()>,"['xpath@//android.widget.Button[@text=""Just show me the deals""]', 'id@com.groupon:id/global_search_button_text', 'id@com.groupon:id/search_edittext']","[{""id"": """", ""class"": ""android.widget.Button"", ""bounds"": ""[195,2372][1245,2549]""}, {}, {}]","['xpath@//android.widget.Button[@text=""Just show me the deals""]', 'id@com.groupon:id/global_search_button_text', 'id@com.groupon:id/search_edittext']",groupon,groupon,gtm,"['xpath@//android.widget.Button[@text=""Just show me the deals""]']",[],"['id@com.groupon:id/global_search_button_text', 'id@com.groupon:id/search_edittext']",[],1,0,2,0,1.0,0.3333333333333333,0.3333333333333333,2.0
<Groupon.RepresentativeTests: void testFilter()>,"['xpath@//android.widget.Button[@text=""Just show me the deals""]', 'id@com.groupon:id/global_search_button_text', 'id@com.groupon:id/search_edittext', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/androidx.viewpager.widget.ViewPager/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.HorizontalScrollView/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.TextView[5]', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/androidx.viewpager.widget.ViewPager/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.RelativeLayout[2]/androidx.recyclerview.widget.RecyclerView/android.widget.LinearLayout[2]', 'id@com.groupon:id/done_button']","[{""id"": """", ""class"": ""android.widget.Button"", ""bounds"": ""[195,2372][1245,2549]""}, {}, {}, {}, {}, {""id"": ""com.groupon:id/done_button"", ""class"": ""android.widget.TextView"", ""bounds"": ""[1199,1253][1440,1428]""}]","['xpath@//android.widget.Button[@text=""Just show me the deals""]', 'id@com.groupon:id/global_search_button_text', 'id@com.groupon:id/search_edittext', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/androidx.viewpager.widget.ViewPager/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.HorizontalScrollView/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.TextView[5]', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/androidx.viewpager.widget.ViewPager/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.RelativeLayout[2]/androidx.recyclerview.widget.RecyclerView/android.widget.LinearLayout[2]', 'id@com.groupon:id/done_button']",groupon,groupon,gtm,"['xpath@//android.widget.Button[@text=""Just show me the deals""]', 'id@com.groupon:id/done_button']",[],"['id@com.groupon:id/global_search_button_text', 'id@com.groupon:id/search_edittext', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/androidx.viewpager.widget.ViewPager/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.HorizontalScrollView/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.TextView[5]', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.view.ViewGroup/androidx.viewpager.widget.ViewPager/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.RelativeLayout[2]/androidx.recyclerview.widget.RecyclerView/android.widget.LinearLayout[2]']",[],2,0,4,0,1.0,0.3333333333333333,0.3333333333333333,4.0
<Groupon.RepresentativeTests: void testDetail()>,"['xpath@//android.widget.Button[@text=""Just show me the deals""]', 'id@com.groupon:id/global_search_button_text', 'id@com.groupon:id/search_edittext', 'id@com.groupon:id/deal_image']","[{""id"": """", ""class"": ""android.widget.Button"", ""bounds"": ""[195,2372][1245,2549]""}, {}, {}, {}]","['xpath@//android.widget.Button[@text=""Just show me the deals""]', 'id@com.groupon:id/global_search_button_text', 'id@com.groupon:id/search_edittext', 'id@com.groupon:id/deal_image']",groupon,groupon,gtm,"['xpath@//android.widget.Button[@text=""Just show me the deals""]']",[],"['id@com.groupon:id/global_search_button_text', 'id@com.groupon:id/search_edittext', 'id@com.groupon:id/deal_image']",[],1,0,3,0,1.0,0.25,0.25,3.0
<Groupon.RepresentativeTests: void testAddCart()>,"['id@com.groupon:id/done', 'id@com.groupon:id/fragment_log_in_sign_up_email', 'id@com.groupon:id/fragment_log_in_sign_up_password', 'id@com.groupon:id/fragment_log_in_sign_up_groupon_button', 'id@com.groupon:id/global_search_button_text', 'id@com.groupon:id/search_edittext', 'id@com.groupon:id/deal_image', 'id@com.groupon:id/cta_button']","[{""id"": ""com.groupon:id/done"", ""class"": ""android.widget.Button"", ""bounds"": ""[195,2005][1245,2173]""}, {}, {}, {""id"": ""com.groupon:id/fragment_log_in_sign_up_groupon_button"", ""class"": ""android.widget.Button"", ""bounds"": ""[56,1445][1384,1642]""}, {}, {}, {}, {""id"": ""com.groupon:id/cta_button"", ""class"": ""android.widget.Button"", ""bounds"": ""[42,2582][1398,2621]""}]","['id@com.groupon:id/done', 'id@com.groupon:id/fragment_log_in_sign_up_email', 'id@com.groupon:id/fragment_log_in_sign_up_password', 'id@com.groupon:id/fragment_log_in_sign_up_groupon_button', 'id@com.groupon:id/global_search_button_text', 'id@com.groupon:id/search_edittext', 'id@com.groupon:id/deal_image', 'id@com.groupon:id/cta_button']",groupon,groupon,gtm,"['id@com.groupon:id/done', 'id@com.groupon:id/fragment_log_in_sign_up_groupon_button', 'id@com.groupon:id/cta_button']",[],"['id@com.groupon:id/fragment_log_in_sign_up_email', 'id@com.groupon:id/fragment_log_in_sign_up_password', 'id@com.groupon:id/global_search_button_text', 'id@com.groupon:id/search_edittext', 'id@com.groupon:id/deal_image']",[],3,0,5,0,1.0,0.375,0.375,5.0
