id,xpath,class,canonical,current Activity,next Activity,type,additional info
com.cnn.mobile.android.phone:id/toolbar_save,,android.widget.Button,save_bookmark,.features.main.MainActivity,,,
com.cnn.mobile.android.phone:id/saved_story_item_menu,,android.widget.FrameLayout,menu_bookmark,.features.main.MainActivity,,,
com.cnn.mobile.android.phone:id/deleteButton,,android.widget.ImageButton,remove_bookmark,.features.main.MainActivity,,,
com.cnn.mobile.android.phone:id/settings_item_menu,,android.widget.FrameLayout,menu,.features.main.MainActivity,,,
com.cnn.mobile.android.phone:id/tv_tv_login,,android.widget.Button,menu_account,.features.main.MainActivity,.features.watch.authentication.legacy.TvePickerPrimaryListActivity,,
,"//androidx.appcompat.app.a.c[@content-desc=""World""]",androidx.appcompat.app.a$c,cat_1,.features.main.MainActivity,,,
com.cnn.mobile.android.phone:id/tv_feedback_link,,android.widget.Button,contact,.features.main.MainActivity,com.apptentive.android.sdk.ApptentiveViewActivity,,
com.cnn.mobile.android.phone:id/tv_terms_conditions,,android.widget.Button,legal,.features.main.MainActivity,,,
com.cnn.mobile.android.phone:id/toolbar_back_button_container,,android.widget.FrameLayout,back,.features.main.MainActivity,,,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.ScrollView/android.view.ViewGroup/android.view.ViewGroup[1],android.view.ViewGroup,item_1,.features.main.MainActivity,,,
,"//android.view.ViewGroup[@content-desc="" search text input""]/android.widget.EditText",android.widget.EditText,search_bar,.features.main.MainActivity,,input,
com.cnn.mobile.android.phone:id/search_item_menu,,android.widget.FrameLayout,tosearch,.features.main.MainActivity,,,
