id,xpath,class,canonical,current Activity,next Activity,type,additional info
com.ebay.mobile:id/button_sign_in,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.LinearLayout/android.view.ViewGroup/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/androidx.recyclerview.widget.RecyclerView/android.widget.LinearLayout[2]/android.widget.LinearLayout/android.widget.Button[2],android.widget.Button,home_signin,.activities.MainActivity,.connection.idsignin.social.view.SocialSignInStartActivity,transition,"""Sign In"" button"
com.ebay.mobile:id/button_classic,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout[2]/android.view.ViewGroup/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.RelativeLayout/android.widget.LinearLayout[2]/android.widget.Button[1],android.widget.Button,signin_tosignin,.connection.idsignin.social.view.SocialSignInStartActivity,.connection.idsignin.traditional.UsernamePasswordActivity,transition,Sign in by email button
com.ebay.mobile:id/edit_text_username,"//android.widget.LinearLayout[@content-desc=""Sign in""]/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.EditText",android.widget.EditText,signin_username_or_email,.connection.idsignin.traditional.UsernamePasswordActivity,,input,Can be transition
com.ebay.mobile:id/et_temp,"//android.widget.LinearLayout[@content-desc=""Sign in""]/android.widget.RelativeLayout/android.widget.RelativeLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.EditText",android.widget.EditText,signin_password,.connection.idsignin.traditional.UsernamePasswordActivity,,input,Can be transition
com.ebay.mobile:id/button_sign_in,"//android.widget.LinearLayout[@content-desc=""Sign in""]/android.widget.Button[1]",android.widget.Button,sign_in,.connection.idsignin.traditional.UsernamePasswordActivity,.activities.MainActivity,assertion,Can be transition
com.ebay.mobile:id/button_forgot,"//android.widget.LinearLayout[@content-desc=""Sign in""]/android.widget.Button[3]",android.widget.Button,signin_forget_pwd,.connection.idsignin.traditional.UsernamePasswordActivity,,assertion,
com.ebay.mobile:id/button_register,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.LinearLayout/android.view.ViewGroup/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/androidx.recyclerview.widget.RecyclerView/android.widget.LinearLayout[2]/android.widget.LinearLayout/android.widget.Button[1],android.widget.Button,home_signup,.activities.MainActivity,.connection.idsignin.registration.view.social.RegistrationSocialStartActivity,transition,"""Register"" button"
com.ebay.mobile:id/button_classic,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout[2]/android.view.ViewGroup/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.RelativeLayout/android.widget.LinearLayout/android.widget.Button[1],android.widget.Button,signup_tosignup,.connection.idsignin.registration.view.social.RegistrationSocialStartActivity,.connection.idsignin.registration.view.user.RegistrationUserActivity,transition,Register by email button; same id as in signin
com.ebay.mobile:id/et_first_name,"//android.widget.EditText[@content-desc=""First name""]",android.widget.EditText,signup_firstname,.connection.idsignin.registration.view.user.RegistrationUserActivity,,input,
com.ebay.mobile:id/et_email,"//android.widget.EditText[@content-desc=""Email""]",android.widget.EditText,signup_email,.connection.idsignin.registration.view.user.RegistrationUserActivity,,input,
com.ebay.mobile:id/bt_continue,"//android.widget.Button[@content-desc=""Continue""]",android.widget.Button,signup_continue,.connection.idsignin.registration.view.user.RegistrationUserActivity,.connection.idsignin.registration.view.password.RegistrationPasswordActivity,transition,"""Continue"" button"
com.ebay.mobile:id/et_temp,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout[2]/android.view.ViewGroup/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.RelativeLayout/android.widget.ScrollView/android.widget.LinearLayout/android.widget.RelativeLayout/android.widget.RelativeLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.EditText,android.widget.EditText,signup_password,.connection.idsignin.registration.view.password.RegistrationPasswordActivity,,input,Same id as in signin
com.ebay.mobile:id/bt_create_your_account,"//android.widget.Button[@content-desc=""Create account""]",android.widget.Button,sign_up,.connection.idsignin.registration.view.password.RegistrationPasswordActivity,.connection.idsignin.fingerprint.enroll.FingerprintEnrollmentActivity,assertion,
com.ebay.mobile:id/home,"//android.widget.ImageButton[@content-desc=""Main navigation, open""]",android.widget.ImageButton,menu,.activities.MainActivity,,assertion,
com.ebay.mobile:id/menuitem_settings,"//androidx.appcompat.widget.LinearLayoutCompat[@content-desc=""Settings,double tap to activate""]",androidx.appcompat.widget.LinearLayoutCompat,menu_settings,.activities.MainActivity,.settings.SettingsActivity,transition,
,/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.FrameLayout[2]/android.view.ViewGroup/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/android.widget.LinearLayout[6]/android.widget.RelativeLayout,android.widget.RelativeLayout,about,.settings.SettingsActivity,,assertion,Can be transition
