method,event_array,source,target,gui_mapper,src_events,gt_events,distance,num_src,num_trans,num_gt,reduction
<Etsy.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.geek:id/login_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.3734139179440077}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.5736315175939828}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""score"": 0.5297808518221342}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""score"": 0.568950332928395}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.5580396636914546}]",etsy,geek,craftdroid,"['id@com.etsy.android:id/btn_link', 'id@com.etsy.android:id/btn_sign_in_dialog', 'id@com.etsy.android:id/edit_username', 'id@com.etsy.android:id/edit_password', 'id@com.etsy.android:id/button_signin']","['id@com.contextlogic.geek:id/login_fragment_sign_in_button', 'id@com.contextlogic.geek:id/sign_in_fragment_email_text', 'id@com.contextlogic.geek:id/sign_in_fragment_password_text', 'id@com.contextlogic.geek:id/sign_in_fragment_sign_in_button']",1.0,5,5,4,0.75
<Etsy.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.geek:id/login_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.3734139179440077}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.4581120542068887}, {""input"": ""aaa"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""score"": 0.0}, {""input"": ""bbb"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""score"": 0.0}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""score"": 0.568950332928395}, {""input"": ""yixueresearch"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""score"": 0.5297808518221342}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""score"": 0.4238536991113928}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""score"": 0.4180262621274768}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.480090608525804}]",etsy,geek,craftdroid,"['id@com.etsy.android:id/btn_link', 'id@com.etsy.android:id/btn_register_dialog', 'id@com.etsy.android:id/edit_first_name', 'id@com.etsy.android:id/edit_last_name', 'id@com.etsy.android:id/edit_email', 'id@com.etsy.android:id/edit_username', 'id@com.etsy.android:id/edit_register_password', 'id@com.etsy.android:id/edit_password_confirm', 'id@com.etsy.android:id/button_register']","['id@com.contextlogic.geek:id/login_fragment_create_account_button', 'id@com.contextlogic.geek:id/create_account_fragment_first_name_text', 'id@com.contextlogic.geek:id/create_account_fragment_last_name_text', 'id@com.contextlogic.geek:id/create_account_fragment_email_text', 'id@com.contextlogic.geek:id/create_account_fragment_confirm_email_text', 'id@com.contextlogic.geek:id/create_account_fragment_password_text', 'id@com.contextlogic.geek:id/create_account_fragment_create_account_button']",7.0,9,7,7,0.0
<Etsy.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.26903293401200384}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.586188064589956}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""score"": 0.5297808518221342}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""score"": 0.568950332928395}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.6230396636914546}]",etsy,wish,craftdroid,"['id@com.etsy.android:id/btn_link', 'id@com.etsy.android:id/btn_sign_in_dialog', 'id@com.etsy.android:id/edit_username', 'id@com.etsy.android:id/edit_password', 'id@com.etsy.android:id/button_signin']","['id@com.contextlogic.wish:id/sign_in_fragment_email_text', 'id@com.contextlogic.wish:id/sign_in_fragment_password_text', 'id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button']",2.0,5,5,3,0.3333333333333333
<Etsy.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.26903293401200384}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/multi_button_dialog_fragment_description"", ""action"": ""click"", ""score"": 0.32229371595295203}, {""input"": ""aaa"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""score"": 0.0}, {""input"": ""bbb"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/forgot_password_fragment_email_text"", ""action"": ""sendKeys"", ""score"": 0.2006227105947979}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""score"": 0.4473722217030706}, {""input"": ""yixueresearch"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""score"": 0.5297808518221342}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""score"": 0.26135089629665736}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""score"": 0.25387982324035496}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/forgot_password_fragment_reset_password_button"", ""action"": ""click"", ""score"": 0.233858575839834}]",etsy,wish,craftdroid,"['id@com.etsy.android:id/btn_link', 'id@com.etsy.android:id/btn_register_dialog', 'id@com.etsy.android:id/edit_first_name', 'id@com.etsy.android:id/edit_last_name', 'id@com.etsy.android:id/edit_email', 'id@com.etsy.android:id/edit_username', 'id@com.etsy.android:id/edit_register_password', 'id@com.etsy.android:id/edit_password_confirm', 'id@com.etsy.android:id/button_register']","['id@com.contextlogic.wish:id/sign_in_fragment_create_account_button', 'id@com.contextlogic.wish:id/create_account_fragment_first_name_text', 'id@com.contextlogic.wish:id/create_account_fragment_last_name_text', 'id@com.contextlogic.wish:id/create_account_fragment_email_text', 'id@com.contextlogic.wish:id/create_account_fragment_password_text', 'id@com.contextlogic.wish:id/create_account_fragment_create_account_button']",8.0,9,8,6,-0.3333333333333333
<Wish.RepresentativeTests: void testSignIn()>,"[{""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""score"": 0.61}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""score"": 0.61}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.61}]",wish,geek,craftdroid,"['id@com.contextlogic.wish:id/sign_in_fragment_email_text', 'id@com.contextlogic.wish:id/sign_in_fragment_password_text', 'id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button']","['id@com.contextlogic.geek:id/login_fragment_sign_in_button', 'id@com.contextlogic.geek:id/sign_in_fragment_email_text', 'id@com.contextlogic.geek:id/sign_in_fragment_password_text', 'id@com.contextlogic.geek:id/sign_in_fragment_sign_in_button']",1.0,3,3,4,0.75
<Wish.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.geek:id/login_fragment_create_account_button"", ""action"": ""click"", ""score"": 0.4384966065328936}, {""input"": ""aaa"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/create_account_fragment_first_name_text"", ""action"": ""sendKeys"", ""score"": 0.61}, {""input"": ""bbb"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/create_account_fragment_last_name_text"", ""action"": ""sendKeys"", ""score"": 0.675}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/create_account_fragment_email_text"", ""action"": ""sendKeys"", ""score"": 0.61}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/create_account_fragment_password_text"", ""action"": ""sendKeys"", ""score"": 0.48}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.geek:id/create_account_fragment_create_account_button"", ""action"": ""click"", ""score"": 0.61}]",wish,geek,craftdroid,"['id@com.contextlogic.wish:id/sign_in_fragment_create_account_button', 'id@com.contextlogic.wish:id/create_account_fragment_first_name_text', 'id@com.contextlogic.wish:id/create_account_fragment_last_name_text', 'id@com.contextlogic.wish:id/create_account_fragment_email_text', 'id@com.contextlogic.wish:id/create_account_fragment_password_text', 'id@com.contextlogic.wish:id/create_account_fragment_create_account_button']","['id@com.contextlogic.geek:id/login_fragment_create_account_button', 'id@com.contextlogic.geek:id/create_account_fragment_first_name_text', 'id@com.contextlogic.geek:id/create_account_fragment_last_name_text', 'id@com.contextlogic.geek:id/create_account_fragment_email_text', 'id@com.contextlogic.geek:id/create_account_fragment_confirm_email_text', 'id@com.contextlogic.geek:id/create_account_fragment_password_text', 'id@com.contextlogic.geek:id/create_account_fragment_create_account_button']",1.0,6,6,7,0.8571428571428571
<Wish.RepresentativeTests: void testSignIn()>,"[{""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.etsy.android:id/search_src_text"", ""action"": ""sendKeys"", ""score"": 0.14115636005492482}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""score"": 0.0}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""score"": 0.0}]",wish,etsy,craftdroid,"['id@com.contextlogic.wish:id/sign_in_fragment_email_text', 'id@com.contextlogic.wish:id/sign_in_fragment_password_text', 'id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button']","['id@com.etsy.android:id/btn_link', 'id@com.etsy.android:id/btn_sign_in_dialog', 'id@com.etsy.android:id/edit_username', 'id@com.etsy.android:id/edit_password', 'id@com.etsy.android:id/button_signin']",5.0,3,1,5,0.0
<Wish.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/btn_link"", ""action"": ""click"", ""score"": 0.3240466770055533}, {""input"": ""aaa"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_first_name"", ""action"": ""sendKeys"", ""score"": 0.4376135341200091}, {""input"": ""bbb"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_last_name"", ""action"": ""sendKeys"", ""score"": 0.5026135341200091}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_email"", ""action"": ""sendKeys"", ""score"": 0.3685386966413887}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_password_confirm"", ""action"": ""sendKeys"", ""score"": 0.27453328233393426}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/button_register"", ""action"": ""click"", ""score"": 0.31668789359833194}]",wish,etsy,craftdroid,"['id@com.contextlogic.wish:id/sign_in_fragment_create_account_button', 'id@com.contextlogic.wish:id/create_account_fragment_first_name_text', 'id@com.contextlogic.wish:id/create_account_fragment_last_name_text', 'id@com.contextlogic.wish:id/create_account_fragment_email_text', 'id@com.contextlogic.wish:id/create_account_fragment_password_text', 'id@com.contextlogic.wish:id/create_account_fragment_create_account_button']","['id@com.etsy.android:id/btn_link', 'id@com.etsy.android:id/btn_register_dialog', 'id@com.etsy.android:id/edit_first_name', 'id@com.etsy.android:id/edit_last_name', 'id@com.etsy.android:id/edit_email', 'id@com.etsy.android:id/edit_username', 'id@com.etsy.android:id/edit_register_password', 'id@com.etsy.android:id/edit_password_confirm', 'id@com.etsy.android:id/button_register']",3.0,6,6,9,0.6666666666666666
<Geek.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.467985465053856}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""score"": 0.61}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""score"": 0.61}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.61}]",geek,wish,craftdroid,"['id@com.contextlogic.geek:id/login_fragment_sign_in_button', 'id@com.contextlogic.geek:id/sign_in_fragment_email_text', 'id@com.contextlogic.geek:id/sign_in_fragment_password_text', 'id@com.contextlogic.geek:id/sign_in_fragment_sign_in_button']","['id@com.contextlogic.wish:id/sign_in_fragment_email_text', 'id@com.contextlogic.wish:id/sign_in_fragment_password_text', 'id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button']",1.0,4,4,3,0.6666666666666666
<Geek.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_create_account_button"", ""action"": ""click"", ""score"": 0.4384966065328936}, {""input"": ""aaa"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_first_name_text"", ""action"": ""sendKeys"", ""score"": 0.61}, {""input"": ""bbb"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_last_name_text"", ""action"": ""sendKeys"", ""score"": 0.675}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_email_text"", ""action"": ""sendKeys"", ""score"": 0.61}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_email_text"", ""action"": ""sendKeys"", ""score"": 0.4935283914529055}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_password_text"", ""action"": ""sendKeys"", ""score"": 0.48}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_create_account_button"", ""action"": ""click"", ""score"": 0.61}]",geek,wish,craftdroid,"['id@com.contextlogic.geek:id/login_fragment_create_account_button', 'id@com.contextlogic.geek:id/create_account_fragment_first_name_text', 'id@com.contextlogic.geek:id/create_account_fragment_last_name_text', 'id@com.contextlogic.geek:id/create_account_fragment_email_text', 'id@com.contextlogic.geek:id/create_account_fragment_confirm_email_text', 'id@com.contextlogic.geek:id/create_account_fragment_password_text', 'id@com.contextlogic.geek:id/create_account_fragment_create_account_button']","['id@com.contextlogic.wish:id/sign_in_fragment_create_account_button', 'id@com.contextlogic.wish:id/create_account_fragment_first_name_text', 'id@com.contextlogic.wish:id/create_account_fragment_last_name_text', 'id@com.contextlogic.wish:id/create_account_fragment_email_text', 'id@com.contextlogic.wish:id/create_account_fragment_password_text', 'id@com.contextlogic.wish:id/create_account_fragment_create_account_button']",1.0,7,7,6,0.8333333333333334
