method,event_array
<usatoday.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_saved"", ""action"": ""click""}, {""input"": ""llaman"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<usatoday.RepresentativeTests: void testDetail()>,"[{""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/siginin_back"", ""action"": ""click""}]"
<usatoday.RepresentativeTests: void testAddBookmark()>,"[{""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_settings"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/setting_font_size"", ""action"": ""click""}]"
<usatoday.RepresentativeTests: void testRemoveBookmark()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.RelativeLayout[4]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_settings"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/setting_font_size"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/setting_font_size"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/setting_font_size"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@android:id/text1"", ""action"": ""click""}]"
<usatoday.RepresentativeTests: void testTextSize()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.LinearLayout/android.widget.RelativeLayout/android.widget.HorizontalScrollView/android.widget.LinearLayout/android.widget.FrameLayout[2]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_feedback"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<usatoday.RepresentativeTests: void testAbout()>,"[{""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_feedback"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<usatoday.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_saved"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<usatoday.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.LinearLayout/android.widget.RelativeLayout/android.widget.HorizontalScrollView/android.widget.LinearLayout/android.widget.FrameLayout[2]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.LinearLayout/android.widget.RelativeLayout/android.widget.HorizontalScrollView/android.widget.LinearLayout/android.widget.FrameLayout[2]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_feedback"", ""action"": ""click""}]"
<usatoday.RepresentativeTests: void testHelp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_settings"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@android:id/text1"", ""action"": ""click""}]"
<usatoday.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/search_bar_layout"", ""action"": ""click""}]"
<usatoday.RepresentativeTests: void testTerms()>,"[{""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/siginin_back"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/android.widget.LinearLayout/android.widget.RelativeLayout/android.widget.HorizontalScrollView/android.widget.LinearLayout/android.widget.FrameLayout[2]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.mobilesrepublic.appy:id/bottom_tab_native_profile_menu_item_saved"", ""action"": ""click""}]"
