method,event_array
<newsrepublic.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/toolbar_back_button_container"", ""action"": ""click""}, {""input"": ""llaman"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}]"
<newsrepublic.RepresentativeTests: void testDetail()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.ScrollView/android.view.ViewGroup/android.view.ViewGroup[1]"", ""action"": ""click""}, {""input"": ""llaman"", ""id_or_xpath"": ""xpath@//android.view.ViewGroup[@content-desc=\"" search text input\""]/android.widget.EditText"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/saved_story_item_menu"", ""action"": ""click""}]"
<newsrepublic.RepresentativeTests: void testAddBookmark()>,"[{""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/toolbar_back_button_container"", ""action"": ""click""}, {""input"": ""llaman"", ""id_or_xpath"": ""xpath@//android.view.ViewGroup[@content-desc=\"" search text input\""]/android.widget.EditText"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@//androidx.appcompat.app.a.c[@content-desc=\""World\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/tv_terms_conditions"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//androidx.appcompat.app.a.c[@content-desc=\""World\""]"", ""action"": ""click""}]"
<newsrepublic.RepresentativeTests: void testRemoveBookmark()>,"[{""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/tv_feedback_link"", ""action"": ""click""}, {""input"": ""llaman"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/saved_story_item_menu"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/tv_terms_conditions"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/deleteButton"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/toolbar_back_button_container"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/deleteButton"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//androidx.appcompat.app.a.c[@content-desc=\""World\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/deleteButton"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/deleteButton"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/tv_tv_login"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/saved_story_item_menu"", ""action"": ""click""}]"
<newsrepublic.RepresentativeTests: void testAccount()>,"[{""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/tv_tv_login"", ""action"": ""click""}]"
<newsrepublic.RepresentativeTests: void testTextSize()>,"[{""input"": null, ""id_or_xpath"": ""xpath@//androidx.appcompat.app.a.c[@content-desc=\""World\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/tv_terms_conditions"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/deleteButton"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/deleteButton"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//androidx.appcompat.app.a.c[@content-desc=\""World\""]"", ""action"": ""click""}]"
<newsrepublic.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/toolbar_save"", ""action"": ""click""}]"
<newsrepublic.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/tv_feedback_link"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.ScrollView/android.view.ViewGroup/android.view.ViewGroup[1]"", ""action"": ""click""}]"
<newsrepublic.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/settings_item_menu"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.ScrollView/android.view.ViewGroup/android.view.ViewGroup[1]"", ""action"": ""click""}]"
<newsrepublic.RepresentativeTests: void testTerms()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.ScrollView/android.view.ViewGroup/android.view.ViewGroup[1]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.cnn.mobile.android.phone:id/saved_story_item_menu"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//androidx.appcompat.app.a.c[@content-desc=\""World\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.ScrollView/android.view.ViewGroup/android.view.ViewGroup[1]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.ScrollView/android.view.ViewGroup/android.view.ViewGroup[1]"", ""action"": ""click""}]"
