method,event_array
<reuters.RepresentativeTests: void testSearch()>,"[{""input"": null, ""id_or_xpath"": ""id@com.usatoday.android.news:id/saved_articles_tab"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.usatoday.android.news:id/preference_layout"", ""action"": ""click""}, {""input"": ""electionn"", ""id_or_xpath"": ""id@com.usatoday.android.news:id/edit_text_search"", ""action"": ""sendKeys""}]"
<reuters.RepresentativeTests: void testDetail()>,"[{""input"": null, ""id_or_xpath"": ""id@com.usatoday.android.news:id/preference_layout"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.usatoday.android.news:id/preference_layout"", ""action"": ""click""}, {""input"": ""electionn"", ""id_or_xpath"": ""id@com.usatoday.android.news:id/edit_text_search"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.usatoday.android.news:id/saved_articles_tab"", ""action"": ""click""}]"
<reuters.RepresentativeTests: void testAddBookmark()>,"[{""input"": null, ""id_or_xpath"": ""id@com.usatoday.android.news:id/saved_articles_tab"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.usatoday.android.news:id/preference_layout"", ""action"": ""click""}, {""input"": ""electionn"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.view.ViewGroup/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[1]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<reuters.RepresentativeTests: void testRemoveBookmark()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.view.ViewGroup[2]/android.widget.LinearLayout[2]/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.usatoday.android.news:id/button_articleTextSize"", ""action"": ""click""}, {""input"": ""electionn"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys""}, {""input"": null, ""id_or_xpath"": ""id@com.usatoday.android.news:id/menuButtonBookmark"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.usatoday.android.news:id/button_articleTextSize"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.usatoday.android.news:id/button_articleTextSize"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@android:id/text1"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Navigate up\""]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.view.ViewGroup/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[1]"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<reuters.RepresentativeTests: void testTextSize()>,"[{""input"": null, ""id_or_xpath"": ""id@com.usatoday.android.news:id/preference_layout"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.view.ViewGroup[2]/android.widget.LinearLayout[2]/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Navigate up\""]"", ""action"": ""click""}]"
<reuters.RepresentativeTests: void testAbout()>,"[{""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.view.ViewGroup[2]/android.widget.LinearLayout[2]/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@android:id/text1"", ""action"": ""click""}]"
<reuters.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""id@com.usatoday.android.news:id/saved_articles_tab"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.usatoday.android.news:id/search_the_app"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.view.ViewGroup[2]/android.widget.LinearLayout[2]/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[1]/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout"", ""action"": ""click""}]"
<reuters.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""id@com.usatoday.android.news:id/settings_gear"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.usatoday.android.news:id/saved_articles_tab"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.view.ViewGroup[2]/android.widget.LinearLayout[2]/android.widget.FrameLayout/android.widget.FrameLayout/android.view.ViewGroup/androidx.recyclerview.widget.RecyclerView/android.widget.FrameLayout[1]"", ""action"": ""click""}]"
<reuters.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""id@com.usatoday.android.news:id/sections_tab"", ""action"": ""click""}]"
<reuters.RepresentativeTests: void testTerms()>,"[{""input"": null, ""id_or_xpath"": ""id@com.usatoday.android.news:id/sections_tab"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.usatoday.android.news:id/preference_layout"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.usatoday.android.news:id/search_the_app"", ""action"": ""click""}]"
