method,event_array
<fox.RepresentativeTests: void testDetail()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<fox.RepresentativeTests: void testAddBookmark()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<fox.RepresentativeTests: void testRemoveBookmark()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Back\""]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/navbar_for_you"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/component_headline_item_container"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<fox.RepresentativeTests: void testAccount()>,"[{""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/navbar_for_you"", ""action"": ""click"", ""case"": ""correct""}]"
<fox.RepresentativeTests: void testTextSize()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/scale_text"", ""action"": ""click"", ""case"": ""correct""}]"
<fox.RepresentativeTests: void testAbout()>,"[{""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/navbar_for_you"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/settings_bttn"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<fox.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<fox.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/navbar_for_you"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/settings_bttn"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<fox.RepresentativeTests: void testHelp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/navbar_for_you"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/settings_bttn"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
<fox.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/navbar_for_you"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/settings_bttn"", ""action"": ""click"", ""case"": ""correct""}]"
<fox.RepresentativeTests: void testTerms()>,"[{""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/navbar_for_you"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.foxnews.android:id/settings_bttn"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""case"": ""notFound""}]"
