method,event_array
<fox.RepresentativeTests: void testDetail()>,"[{""input"": null, ""id_or_xpath"": ""id@com.buzzfeed.android:id/post_card_text"", ""action"": ""click""}]"
<fox.RepresentativeTests: void testAddBookmark()>,"[{""input"": null, ""id_or_xpath"": ""id@com.buzzfeed.android:id/post_card_text"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.buzzfeed.android:id/menu_bookmark"", ""action"": ""click"", ""info"": ""multiple in src""}]"
<fox.RepresentativeTests: void testRemoveBookmark()>,"[{""input"": null, ""id_or_xpath"": ""id@com.buzzfeed.android:id/post_card_text"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.buzzfeed.android:id/menu_bookmark"", ""action"": ""click"", ""info"": ""multiple in src""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Navigate up\""]"", ""action"": ""click"", ""info"": ""multiple in tgt""}, {""input"": null, ""id_or_xpath"": ""id@com.buzzfeed.android:id/menu_user_profile_root"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.buzzfeed.android:id/post_card_text"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.buzzfeed.android:id/menu_bookmark"", ""action"": ""click"", ""info"": ""multiple in src""}]"
<fox.RepresentativeTests: void testAccount()>,"[{""input"": null, ""id_or_xpath"": ""id@com.buzzfeed.android:id/menu_user_profile_root"", ""action"": ""click""}]"
<fox.RepresentativeTests: void testTextSize()>,"[{""input"": null, ""id_or_xpath"": ""id@com.buzzfeed.android:id/post_card_text"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<fox.RepresentativeTests: void testAbout()>,"[{""input"": null, ""id_or_xpath"": ""id@com.buzzfeed.android:id/menu_user_profile_root"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.buzzfeed.android:id/settings_button"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<fox.RepresentativeTests: void testCategory()>,"[{""input"": null, ""id_or_xpath"": ""id@com.buzzfeed.android:id/icon"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.buzzfeed.android:id/explore_item_title"", ""action"": ""click""}]"
<fox.RepresentativeTests: void testContact()>,"[{""input"": null, ""id_or_xpath"": ""id@com.buzzfeed.android:id/menu_user_profile_root"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.buzzfeed.android:id/settings_button"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ListView/android.widget.LinearLayout[9]"", ""action"": ""click""}]"
<fox.RepresentativeTests: void testHelp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.buzzfeed.android:id/menu_user_profile_root"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.buzzfeed.android:id/settings_button"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click""}]"
<fox.RepresentativeTests: void testMenu()>,"[{""input"": null, ""id_or_xpath"": ""id@com.buzzfeed.android:id/menu_user_profile_root"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.buzzfeed.android:id/settings_button"", ""action"": ""click""}]"
<fox.RepresentativeTests: void testTerms()>,"[{""input"": null, ""id_or_xpath"": ""id@com.buzzfeed.android:id/menu_user_profile_root"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""id@com.buzzfeed.android:id/settings_button"", ""action"": ""click""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.ListView/android.widget.LinearLayout[9]"", ""action"": ""click""}]"
